number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
12,0.2260181694476857,2026-09-24 12:45:06.617097,2026-09-24 12:45:54.987103,0 days 00:00:48.370006,0.7406283784559878,1.1019891261730201,0.051976770727993955,3,8.521003609740934,0.00037729541932088854,0.6982144202624971,0.5259729347637362,16,COMPLETE
13,0.22828081852397192,2026-09-24 12:45:55.066754,2026-09-24 12:47:07.541252,0 days 00:01:12.474498,0.7873207628315023,0.1779031441907527,0.03471058684354121,5,7.592881336231833,0.012488081634372613,19.884491083966783,0.6399930590344023,34,COMPLETE
14,0.22391467438706436,2026-09-24 12:47:07.622393,2026-09-24 12:47:55.798492,0 days 00:00:48.176099,0.7042583674528331,1.2383904594536224,0.06847523810159539,2,10.572586473878143,0.0017820062728576794,2.9948494871092968,0.5916029302115076,28,COMPLETE
15,0.2307244873242376,2026-09-24 12:47:55.848627,2026-09-24 12:49:00.143869,0 days 00:01:04.295242,0.8393047962070309,0.7190370480070245,0.0328186221036886,5,5.228642316054725,0.10159203929229492,9.600889259895814,0.6836883341800518,20,COMPLETE
16,0.22600294228866308,2026-09-24 12:49:00.203665,2026-09-24 12:50:18.101118,0 days 00:01:17.897453,0.9625804269959037,0.3584360081423823,0.013832109762427831,3,6.411978344697588,0.007874415041389362,0.8094484317113394,0.5663469161138893,73,COMPLETE
17,0.23010519619044195,2026-09-24 12:50:18.161110,2026-09-24 12:51:09.146777,0 days 00:00:50.985667,0.6452979609475845,1.2860396752824992,0.0713457577159999,4,10.815664827586277,0.000572270670027278,0.11042753503759054,0.6621933104323113,11,COMPLETE
18,0.22725789814686953,2026-09-24 12:51:09.206849,2026-09-24 12:52:05.948259,0 days 00:00:56.741410,0.8125571252726153,0.8611503627791232,0.026537024526897858,3,2.4953556123733747,0.5574412863025843,5.490101400165125,0.543734882537206,32,COMPLETE
19,0.23237771329990198,2026-09-24 12:52:06.008481,2026-09-24 12:53:26.835457,0 days 00:01:20.826976,0.9031275117901725,0.44001287679209633,0.0145113156891048,4,11.787783170046122,0.06053818339786798,2.3628973161911135,0.5001334875705059,57,COMPLETE
20,0.22966038363044886,2026-09-24 12:53:27.173565,2026-09-24 12:54:35.225567,0 days 00:01:08.052002,0.7297318107773539,0.4380414217865982,0.03981969839487977,5,1.0716569644708758,9.944319168658003,1.9923993868667043,0.5973945193255866,28,COMPLETE
21,0.23125477738858913,2026-09-24 12:54:35.285753,2026-09-24 12:55:49.670485,0 days 00:01:14.384732,0.8926449798807978,0.13878822508214383,0.014193102798737204,4,11.678557547315563,0.1958957848903542,2.8226943787032392,0.5050855999760714,44,COMPLETE
22,0.2307905214362116,2026-09-24 12:55:49.714553,2026-09-24 12:57:17.083978,0 days 00:01:27.369425,0.9329272860554685,0.1624960405005268,0.01665294794899749,4,11.36984629936982,0.09533626003126755,1.2199847091533258,0.5032716520953784,71,COMPLETE
23,0.23119421838120036,2026-09-24 12:57:17.142116,2026-09-24 12:58:43.989560,0 days 00:01:26.847444,0.846530040511483,0.0037244852392019634,0.014674337573960564,4,13.906626438151367,0.28608811613296214,2.2938680945123386,0.6090854318116755,68,COMPLETE
24,0.23072010946800606,2026-09-24 12:58:44.049882,2026-09-24 12:59:51.544462,0 days 00:01:07.494580,0.9129229855762133,0.2332489742391013,0.02399545393142421,4,11.901077439077614,0.044247932019172334,0.3425396486825434,0.5593801411506671,36,COMPLETE
25,0.226539991775888,2026-09-24 12:59:51.604498,2026-09-24 13:01:09.268314,0 days 00:01:17.663816,0.9935798704373724,0.4260812995363926,0.013063450556959889,3,5.835553306447041,0.03651072692841051,1.1057474699311853,0.6861418076927828,72,COMPLETE
26,0.23056416321671325,2026-09-24 13:01:09.339069,2026-09-24 13:02:22.789601,0 days 00:01:13.450532,0.8205101057739626,0.5361150501347403,0.020227712727340242,5,19.609138340353034,2.114343208697984,3.549035270174609,0.8765081538578358,32,COMPLETE
27,0.22626954831668883,2026-09-24 13:02:22.852020,2026-09-24 13:03:32.434209,0 days 00:01:09.582189,0.7792551802303803,0.23198275477358687,0.016421807333205658,3,9.126408110068002,0.3667847846521666,9.245106124283305,0.5509772088815018,57,COMPLETE
28,0.2300709293434793,2026-09-24 13:03:32.498511,2026-09-24 13:04:32.058478,0 days 00:00:59.559967,0.9564861143560655,0.3061369892519913,0.038726565333088256,4,13.460038842086078,0.005826467831096607,2.4756947492832895,0.6242106274055133,25,COMPLETE
29,0.23214989016359477,2026-09-24 13:04:32.121259,2026-09-24 13:05:23.873596,0 days 00:00:51.752337,0.8751491073631026,0.6325503993589989,0.06448907996665237,4,16.01402084350301,4.46064462180351,1.7080692270895157,0.7067410480155287,12,COMPLETE
