gvkey,lpermno,lpermco,liid,linktype,linkprim,linkdt,linkenddt,cik,conm,identity_status,readable_language_filings_in_interval,first_archived_filing,last_archived_filing,cover_name_contexts,explicit_cik_review_count,audit_status
064741,84792,15465.0,1,LC,P,1997-05-09,2011-12-08,1034755,BRIGHAM EXPLORATION CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,8,2010-03-01,2011-11-08,8,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
064766,84827,15471.0,1,LU,P,1997-05-14,,917273,RAMBUS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-10-30,53,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
064891,85072,32009.0,1,LU,P,1997-06-12,,1037038,RALPH LAUREN CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-04,2024-11-07,42,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
065006,85168,15563.0,1,LC,P,1997-07-01,,,HELIX ENERGY SOLUTIONS GROUP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
174876,85208,15564.0,1,LC,P,2006-06-21,2016-02-26,1014507,SIRONA DENTAL SYSTEMS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,25,2010-02-08,2016-02-08,25,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
065142,85231,32028.0,1,LC,P,1997-07-28,2011-01-13,1035884,COMMSCOPE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-02-22,2010-10-27,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
001598,85257,32054.0,1,LC,P,1997-08-08,,1037868,AMETEK INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-25,2024-10-31,55,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
065570,85411,32096.0,1,LC,P,2008-11-14,2010-07-30,849667,AMER ITALIAN PASTA CO  -CL A,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,2,2010-02-04,2010-05-06,2,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
024620,85426,32110.0,1,LC,P,1997-10-08,,1040829,RYMAN HOSPITALITY PPTYS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-11-05,43,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
065772,85621,32158.0,1,LU,P,1997-11-14,,1037646,METTLER-TOLEDO INTL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-09,2024-11-08,43,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
066016,85645,32174.0,1,LC,P,1997-12-11,,1046257,INGREDION INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-11-08,43,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
066368,85753,15940.0,1,LU,P,1998-01-30,,1014473,VERISIGN INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-10-24,60,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
066446,85792,34660.0,1,LU,P,1998-02-12,,1050915,QUANTA SERVICES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-10-31,41,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
005250,85908,34684.0,1,LC,P,1998-04-08,2021-09-30,1045309,GRACE (W R) & CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,47,2010-02-25,2021-08-02,11,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
009555,85926,34702.0,1,LC,P,1998-04-08,,1012100,SEALED AIR CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-11-07,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
013440,85991,16033.0,3,LC,P,1998-04-01,2017-10-31,794323,LEVEL 3 COMMUNICATIONS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,31,2010-02-26,2017-08-04,31,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
110732,86097,16123.0,1,LC,P,1998-05-26,2016-05-31,1318220,WASTE CONNECTIONS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
112033,86176,16179.0,1,LC,P,1998-06-25,2011-02-28,1047699,KING PHARMACEUTICALS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-02-26,2010-11-05,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
116787,86525,16349.0,1,LC,P,1998-12-16,2014-12-04,1066026,CONCUR TECHNOLOGIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,20,2010-02-09,2014-11-18,20,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
024283,86590,34987.0,1,LC,P,1999-02-05,2011-03-08,1259045,BIG HEART PET BRANDS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
118795,86759,35017.0,1,LC,P,1999-03-05,2015-01-07,1060990,QUICKSILVER RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,20,2010-03-15,2014-11-10,20,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
119217,86791,16444.0,1,LC,P,1999-04-05,2011-11-09,1079023,VARIAN SEMICONDUCTOR EQUIPMT,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,7,2010-02-08,2011-07-28,7,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
120134,86830,16496.0,1,LC,P,1999-04-29,2015-08-06,1080099,INFORMATICA CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,23,2010-03-01,2015-08-06,23,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
120774,86881,16546.0,1,LC,P,1999-05-25,2017-11-16,1009626,BROCADE COMMUNICATIONS SYS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,31,2010-03-02,2017-09-01,31,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
