cell,seed,n_features,threshold,minutes,best_iteration,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1
I+II,42,38,0.2590332389399908,0.12,179,0.6441573868600585,0.2147751348432711,0.6910490020670847,0.1637768668811862,0.2173327346205658,0.5019445164635727,0.3033294163728946,0.6369493103098193,0.1989817605816236,0.6316039858566377,0.1295917000065752,0.1896212326907412,0.5391816251688863,0.2805704815949379
I+II,43,38,0.2575944818730737,0.12,225,0.6398065626380803,0.2142925586378327,0.6773350240580868,0.1596562532306201,0.2119347566635724,0.5179543686803215,0.3007923512694559,0.6400361883643131,0.2004289732961583,0.6223593699774992,0.1321441704710102,0.1890397513495828,0.5576143601621308,0.2823563906467613
I+II,44,38,0.2582279892196025,0.12,257,0.6397845744492058,0.2140060899931288,0.6804269659017874,0.1591076412480597,0.2125077366055811,0.5118615504277936,0.3003289661336021,0.6406972187530258,0.2004040402734294,0.6243522982963677,0.1308495066103316,0.1888881555064189,0.5523547577687705,0.2815089885153579
I+II,45,38,0.2621087673014922,0.11,239,0.6410607981840623,0.2146112700538222,0.6983793361010266,0.1621977834603383,0.2187900687725842,0.4866476536168006,0.3018655516243165,0.6397036083978482,0.1996266437395807,0.6456316297010608,0.1305531048462773,0.1924466220807553,0.5193012931866435,0.2808235263418834
I+II,46,38,0.2570520560259006,0.12,213,0.641564457720753,0.2141351355404297,0.6827198665948687,0.1625820914962938,0.2145388631875118,0.5140005185377237,0.3027237502624496,0.637463406086064,0.1982715174093153,0.6223015107682417,0.12927278638399,0.187970788545171,0.5526925303995368,0.2805324581491323
I+III,42,41,0.1760896936188573,0.13,198,0.6835023671967346,0.2846713915891408,0.7653945699942677,0.2221175626843823,0.2749980576489783,0.4588410681877106,0.34389118290017,0.6202109845536887,0.187047185042137,0.712780456444873,0.0988149139260381,0.1914625035422624,0.3586180274078363,0.2496431030718328
I+III,43,41,0.1819033016563459,0.12,243,0.688639152973231,0.2825158192993546,0.7846757803679063,0.2220572993938973,0.2888708513708514,0.4152190821882291,0.3407084352728433,0.6275240109956873,0.1912794744525519,0.7438058502089361,0.0968115249037148,0.1982647105221643,0.3032233159621694,0.2397603922241935
I+III,44,41,0.1776565402059701,0.13,185,0.6860372322410646,0.282649918616544,0.7732112769024996,0.2175469858363429,0.2781192889184249,0.4340160746694322,0.339003645200486,0.6256859506321233,0.1888894896382762,0.7316104146576663,0.1002119778613293,0.1968158744808491,0.3292800617641382,0.2463715791753917
I+III,45,41,0.1747351721384528,0.12,138,0.6697774255088265,0.2597947942959642,0.7492226719241258,0.2041459000694159,0.2574850299401197,0.4626652838994037,0.3308458864426419,0.6230981558313397,0.1878327155925641,0.7038958534233365,0.1053364561008736,0.1928271781565993,0.3837097085504728,0.2566693026483546
I+III,46,41,0.170373521351433,0.12,178,0.6930140335414496,0.288085399956089,0.7628063714846532,0.2262890438534814,0.2752175558077941,0.4714804252009333,0.3475560227435615,0.6251770718568795,0.1878749981308131,0.7185020893603343,0.0967719028533395,0.1916793668618486,0.3459274271376182,0.2466752688172043
II+III,42,15,0.2651850287304774,0.15,809,0.6711250759169443,0.297873194036056,0.8695131060119161,0.2878133934078761,0.5304400241109102,0.228156598392533,0.3190717911530094,0.5446751524543191,0.1502030338795713,0.8075216972034716,0.0239335783761672,0.1595744680851064,0.1042269832078749,0.1260945709281961
II+III,43,15,0.2463410510185696,0.14,712,0.6819954732218377,0.3076104351236587,0.8702687210130452,0.3029153624829983,0.5342064929636339,0.2485092040445942,0.3392169873921699,0.5449906614787352,0.1502665654200996,0.7910382513661203,0.0250269895261784,0.1573589296102385,0.1305249951746767,0.1426913541172126
II+III,44,15,0.2462796987352712,0.13,563,0.6631755197409797,0.2726804190607669,0.8452378884469072,0.2414166776842605,0.3894386386756682,0.2729452942701582,0.320948134598529,0.5403431650134761,0.1490677287271626,0.788614593378335,0.0258747449424688,0.1577228447547722,0.1351573055394711,0.1455707715094977
II+III,45,15,0.2641178460349407,0.14,739,0.6815283313051979,0.3054452303570447,0.8674720769858778,0.2755965151249604,0.512674366281686,0.2215452424163858,0.3093912649920796,0.5438898588781509,0.1492532550905453,0.793847637415622,0.0227656244516369,0.1557093425605536,0.1237695425593514,0.1379143479312848
II+III,46,15,0.2604483866104452,0.16,872,0.6776116819928948,0.3135664281416512,0.8738209800413417,0.325967441185106,0.5619664004406499,0.264519056261343,0.3597179374173644,0.5437577261683995,0.1507592152422247,0.802462230793957,0.026985654955732,0.1615348176219801,0.1151804670912951,0.1344750852088673
I+II+III,42,47,0.1229451517955116,0.18,397,0.6882548862143566,0.2741711383973973,0.7553544442321388,0.2255392405390156,0.270367700072098,0.4861291158931812,0.3474796145292809,0.6279832044305689,0.1895327896521105,0.6673095467695275,0.1153926726856425,0.1901490033156233,0.4593707778421154,0.2689645430145501
I+II+III,43,47,0.1222322769203911,0.18,380,0.6815571223439341,0.2707261326824787,0.7435772724904028,0.2146786407241005,0.259240281478445,0.491897848068447,0.3395373808778131,0.6304513829219238,0.192163582559179,0.6671938283510125,0.1177331430820132,0.1911413562559694,0.4635205558772438,0.2706677937447168
I+II+III,44,47,0.1265422999350522,0.16,262,0.6736692790346868,0.25101708847164,0.7292379579287463,0.2079983933092417,0.2495945043411888,0.5086855068706249,0.3348765761344968,0.6284840558528627,0.191140105146996,0.6429508196721312,0.1231577912846555,0.1890462835604937,0.5106639644856206,0.2759402907242031
I+II+III,45,47,0.1141966097594479,0.2,508,0.681474700276121,0.2735200397845944,0.7196147232017231,0.2137981825938503,0.2478683620044876,0.5370106300233342,0.3391808077293103,0.6344714637067101,0.1932142230297223,0.6643844423015107,0.1184137977811896,0.1909081983308787,0.4691179309013704,0.2713785258691678
I+II+III,46,47,0.1155180788219575,0.2,517,0.6897237953898299,0.282197408932455,0.7419444492695721,0.2264059486389739,0.2633845746090644,0.5152968628467721,0.3485924756642988,0.6340913353768316,0.1932815167851655,0.6756991321118612,0.1181544693694802,0.1929712196029007,0.4506851959081258,0.2702350813743219
I+II-xs,42,44,0.1628262384356715,0.15,270,0.6405216302413114,0.2179747503221995,0.6978842779968386,0.1596369991371033,0.2175397636071793,0.4831475239823697,0.300002012355865,0.6457745661093599,0.2028879579032107,0.6522340083574414,0.1376553961352032,0.196500354693781,0.5212796757382745,0.2854123459399479
I+II-xs,43,44,0.1712974906625556,0.16,362,0.6379952698969089,0.2165546949544758,0.725477253382897,0.1563818587878476,0.2249422004623963,0.4288306974332382,0.2950936663693131,0.6491849014469464,0.2050113513222397,0.6876824172291868,0.1362251133737396,0.2035921772254261,0.461638679791546,0.2825666395924093
I+II-xs,44,44,0.1631475808638394,0.15,257,0.6413147508771029,0.2179146474434492,0.6990567840330734,0.1596461424118754,0.2178877539039568,0.4811381903033446,0.2999434297721028,0.6452533531011467,0.2023864135709306,0.6515268402442944,0.1348367255116714,0.1952449436565873,0.517515923566879,0.2835238913488864
