ablation,seed,modality,fund_groups,tech_dim,fund_dim,threshold,minutes,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1,fusion
all_three,43,multimodal,fund+macro,32,15,0.547013174748939,43.5,0.610402080381463,0.1969792227792167,0.7624763336926687,0.1299035749675473,0.2126682134570765,0.3312373518357906,0.2590289945176058,0.6095603271605248,0.1702387079136192,0.7407863139301804,0.0682996469608543,0.1769578814292368,0.2691393007134544,0.2135244174143433,
all_three,44,multimodal,fund+macro,32,15,0.5777944489944737,56.9,0.6211634823244787,0.2299649074722518,0.7878321209540806,0.1444500612276608,0.2337056176029338,0.3039895923677363,0.2642540759589105,0.6152729225945177,0.1808343768009969,0.8122597760004234,0.077281092396277,0.2097035040431266,0.1574659717654202,0.1798687975031066,
all_three,45,multimodal,fund+macro,32,15,0.5333388023113327,56.1,0.6295982984472153,0.2220152909050337,0.6973067968728768,0.1408560056910282,0.1977210968379446,0.4627782596126048,0.2770662051060147,0.6190615467670502,0.1859370416316532,0.7879214876853157,0.0945481932314599,0.2097086461727345,0.2247128472397915,0.2169516365412799,
all_three,46,multimodal,fund+macro,32,15,0.5054554898453795,43.3,0.6118982444401749,0.2100195666335091,0.7145458333710787,0.1301839360530946,0.1972318339100346,0.4160884648742411,0.2676118535735037,0.6164912113536349,0.1703493214900236,0.6787531175369308,0.0976166840403377,0.1811599016807281,0.413955371148105,0.2520255075321154,
multi_text,42,multimodal,fund+text,32,25,0.5349327328571907,48.1,0.5796824295836549,0.1635594074325604,0.7127884118888658,0.099882103187762,0.1819443950019579,0.3693986701358774,0.2438047081832709,0.6440707297917406,0.1965221617356827,0.7124853632881497,0.1300480520645591,0.2038194270859371,0.4125891818043819,0.2728504743261557,cross_attention
multi_text,43,multimodal,fund+text,32,25,0.5169470307101374,38.6,0.5657101181154703,0.1551076949688767,0.6452363913071049,0.0812117131311535,0.1627876011930123,0.4418184446371784,0.2379154666459095,0.6568079999489406,0.2084122613587677,0.6721905782576194,0.1462108846994907,0.2010397222054956,0.5068056469159541,0.2878822717866176,cross_attention
multi_text,44,multimodal,fund+text,32,25,0.5196730083665719,42.6,0.5509139216416353,0.1475871392777782,0.644656623395447,0.0644734614055133,0.155495251017639,0.4141370338248049,0.226097936313775,0.6465750465409662,0.2010829502532667,0.6860168958924591,0.1377465111570237,0.2006613785203276,0.4697667358194606,0.2812055126457671,cross_attention
multi_text,45,multimodal,fund+text,32,25,0.5101116455119589,39.5,0.556914872794453,0.1571792691238286,0.631403491289893,0.0733315958504852,0.1580194085733934,0.4483954900260191,0.2336855189558732,0.6507786097736603,0.2056710478301033,0.6628296981364241,0.1428817971814053,0.1976473780086043,0.5160653746900774,0.2858263854830799,cross_attention
multi_text,46,multimodal,fund+text,32,25,0.5025859320462747,38.3,0.5648701028739338,0.1552717923632097,0.627580646622399,0.0791008327848848,0.1600059833960758,0.4638623879734027,0.2379372346933101,0.6620778307372878,0.2124713540849067,0.6599784335906749,0.1525083020665018,0.2008397480755773,0.5373172089257704,0.2923894487581915,cross_attention
multi_text_event,42,multimodal,fund+text_event,32,16,0.5309760175460955,38.8,0.5872328314263552,0.170640347328246,0.6837909574323529,0.0971098471074953,0.1751865326509218,0.4106678230702515,0.2456019018802679,0.6477648727814102,0.2042445866647322,0.6946302286965553,0.1413941598002457,0.2043677903460634,0.461670798967768,0.2833188423798286,cross_attention
multi_text_event,43,multimodal,fund+text_event,32,16,0.5264989249213882,42.6,0.6003292097418483,0.1861363283693021,0.6736993722200582,0.1101539872894437,0.1793292859207863,0.4483232148019659,0.2561846941725519,0.6488668145645043,0.2053364354178375,0.668399917968259,0.1392078349244425,0.1973364169225248,0.5008348934878308,0.283119520601822,cross_attention
multi_text_event,44,multimodal,fund+text_event,32,16,0.5081835149325754,80.7,0.578262289137803,0.1646367439757051,0.6473652266077236,0.0822788353299909,0.163488103859875,0.4405174906042208,0.2384725238179079,0.6104879365943747,0.1796326734759299,0.6453185676199549,0.1086236468849409,0.1805846496442658,0.484187623336538,0.2630580602595118,cross_attention
multi_text_event,45,multimodal,fund+text_event,32,16,0.5497342006279073,38.4,0.5732461604289689,0.1715959020811466,0.7687360153638496,0.0894423472721103,0.1905140013763167,0.2601185313674472,0.2199407217282366,0.6495926016665728,0.2076315456220536,0.778024755062483,0.1296771846818748,0.2281061472339418,0.292718716794009,0.2564045740625831,cross_attention
multi_text_event,46,multimodal,fund+text_event,32,16,0.5697089157968659,59.6,0.5817646077283081,0.1686890553364116,0.7816086747773782,0.0936359543604784,0.1979889450782077,0.2433506793871061,0.218338629142079,0.6271391444484045,0.1889721001982731,0.7755770337587076,0.1081229592062685,0.2132355919160828,0.2664069220260082,0.2368740720745039,cross_attention
multi_text_lm,42,multimodal,fund+text_lm,32,16,0.5215610538816771,38.4,0.574258361269478,0.1647268295698165,0.6497205337488337,0.0933803678298199,0.1684868227817682,0.4560566637756577,0.2460662546064304,0.64860144274363,0.2040742840082211,0.6680889912080497,0.13235557805603,0.1944371872425088,0.4895511815007843,0.2783291619918874,cross_attention
multi_text_lm,43,multimodal,fund+text_lm,32,16,0.5356020484919533,42.7,0.5709026542730763,0.1621194848860554,0.6858744983648734,0.0930164440035114,0.173620246820773,0.4006215669268574,0.242253398015821,0.6448046094881094,0.1973020177674153,0.7031707914078367,0.1323825021451055,0.2024650391087935,0.4322218286697363,0.2757574290187723,cross_attention
multi_text_lm,44,multimodal,fund+text_lm,32,16,0.5614451665762672,46.8,0.5619657134924515,0.1557469306502883,0.733759704318365,0.0759829957948706,0.1733176510123498,0.2982075744434808,0.2192232081185909,0.6352563446253159,0.1951256927373968,0.7479773221928937,0.1183974254032269,0.2086022189019932,0.332034610130041,0.2562280359234674,cross_attention
multi_text_lm,45,multimodal,fund+text_lm,32,16,0.5364666592327249,38.4,0.5593670683774716,0.1568160552717836,0.7109404016704562,0.0746375270591622,0.1684948090538904,0.3319601040763226,0.2235308431682686,0.6475247262489456,0.2056207436062016,0.7332446861293588,0.1327165942179464,0.2113332584522071,0.3808126296614886,0.2718194130925508,cross_attention
multi_text_lm,46,multimodal,fund+text_lm,32,16,0.5119813080884541,42.7,0.5648487900179973,0.1622005609055746,0.6526374910543623,0.0874296545685903,0.1663353935796553,0.4415293437409656,0.2416391432470383,0.6544697350324122,0.2081502218122517,0.6619498415596615,0.1463370410383148,0.1988390643319814,0.5234529170672468,0.2882016994010308,cross_attention
multi_pure_gated,42,multimodal,fund,32,6,0.570196662822296,81.2,0.5626589640604016,0.1607714650723846,0.818360525052315,0.0732235666814195,0.2005973600539551,0.15047701647875109,0.17195952921742721,0.6381149277348427,0.1938813241720947,0.8245777680750987,0.09147904747781396,0.23283227848101265,0.14891463846581995,0.181649847236367,gated_cross_attention
multi_pure_gated,43,multimodal,fund,32,6,0.5856877193761909,52.1,0.5641652167681682,0.16615253222584736,0.8469140947014648,0.08434186214673038,0.24238856181665264,0.10414859786065336,0.1456953642384106,0.6462280038271166,0.20297744735732018,0.8521245559370473,0.08242574537588986,0.2715243472124206,0.07787279259221778,0.12103338445204671,gated_cross_attention
multi_pure_gated,44,multimodal,fund,32,6,0.5148283032609466,46.6,0.5934954418259685,0.1675626644385198,0.639311887959851,0.09692293097410722,0.16858863149300948,0.4775946805435097,0.249208025343189,0.6407004607823457,0.19971982366143112,0.6553277631135015,0.13274152824447122,0.19207769948581221,0.5103476192885695,0.27910838072309163,gated_cross_attention
