date,buy_hold_10,model_seed42_10,model_seed43_10,model_seed44_10,model_seed45_10,model_seed46_10,naive_vol_10,oracle_10,buy_hold_25,model_seed42_25,model_seed43_25,model_seed44_25,model_seed45_25,model_seed46_25,naive_vol_25,oracle_25,buy_hold_50,model_seed42_50,model_seed43_50,model_seed44_50,model_seed45_50,model_seed46_50,naive_vol_50,oracle_50
2023-08-07,1.3648895653110718,1.106391130491006,1.1251390763414537,1.091709277266088,1.1096649919076809,1.1366925043579068,0.93401139002026,1.954685151889348,1.3638653860474548,1.1007492364849085,1.1194315068298057,1.0861500633061487,1.103741250987592,1.1307925131556407,0.9306866991255504,1.9457184137143142,1.3621584206080994,1.0914059479691611,1.109979135190086,1.076943607845532,1.0939342168668325,1.1210229626877257,0.9251697742744395,1.9308585863344307
2023-08-08,1.3601815389486365,1.1005277011079448,1.1199711450527763,1.0883474329943634,1.1071243020993158,1.133589797906773,0.9288905409749098,1.9492424916989652,1.3591608924711842,1.0945932980779216,1.113961910431675,1.0824872055438608,1.1008712459816659,1.1273546295737829,0.9254188675098204,1.9397998996577752,1.3574598150087704,1.0847694749615222,1.1040138698163873,1.0727860703912149,1.0905233265585041,1.117034369612234,0.9196594504441687,1.9241569462046821
2023-08-09,1.3546634463106497,1.0948263338540036,1.1151988425645014,1.0834677897116585,1.1023584676011646,1.1291178056722129,0.9270137999962659,1.9476273791252845,1.3536469404729958,1.0889226744491276,1.1092152138578573,1.07763383679321,1.0961323289945004,1.122907234970939,0.9235491407395994,1.9381926110717198,1.3519527640769127,1.079149744393728,1.0993095627801854,1.0679761970148782,1.0858289542275055,1.112627688257244,0.9178013600654743,1.9225626191310703
2023-08-10,1.3495601480242,1.0894874494526865,1.1094289115758362,1.0779647005346433,1.0967183231905038,1.1251219021718348,0.9225406794961322,1.94259367653442,1.3485474715749552,1.0836125790476114,1.1034762415855943,1.0721603791045229,1.0905240402114729,1.1189333104359798,0.919092738262808,1.9331832929277495,1.3468596774928872,1.0738873063623484,1.0936218413888725,1.062551791871587,1.0802733819820753,1.108690142633758,0.9133726923597983,1.917593697179806
2023-08-11,1.350014067135919,1.090251109847149,1.11009377760798,1.0796526362986054,1.0976061000554251,1.126392933293205,0.9235214568422484,1.9443935282364186,1.3490010500770355,1.0843721215370414,1.1041375402615643,1.0738392261462637,1.0914068028981798,1.1201973504102765,0.9200698500115934,1.934974425722055,1.3473126883122364,1.0746400320632246,1.0942772344535054,1.0642155932647797,1.0811478469162656,1.1099426110751986,0.9143437229768081,1.9193703859033935
2023-08-14,1.3462097055067974,1.0867302547638287,1.10664412845063,1.0766692132670297,1.0938091514761277,1.1222386852107717,0.9205872558544237,1.943539911422143,1.345199543146485,1.0808702520485896,1.100706400287454,1.0708718674127387,1.0876312995463941,1.1160659522477516,0.9171466154264408,1.9341249440296902,1.3435159392126377,1.0711695913679982,1.0908767356705342,1.0612748276844788,1.0774078323690144,1.1058490334013855,0.9114386813718808,1.9185277546096575
2023-08-15,1.329579004373743,1.0716052363474717,1.0907280322061799,1.0614425866085642,1.0783672241050843,1.1065968696678454,0.9082733803238981,1.9215927370822206,1.328581321278913,1.0658267926470841,1.0848757022758133,1.0557272288150865,1.072276588433031,1.1005101725470001,0.904878762277505,1.9122840869974558,1.3269185161208699,1.0562611449292787,1.0751874109188886,1.046265913726454,1.062197451770184,1.0904356575957392,0.8992471781713473,1.8968630268317814
2023-08-16,1.3184326455607118,1.0623119675343362,1.0808024601496644,1.0539236506776,1.0688035744580302,1.096728873385045,0.9028658354968971,1.9058604911508776,1.3174433264169672,1.056583636159652,1.0750033861370951,1.0482487787376331,1.0627669544351854,1.090696453938581,0.8994914278295089,1.8966280517894345,1.3157944611773995,1.0471009444900237,1.0654032577604262,1.0388544847228407,1.0527772059970857,1.0807117777342161,0.8938933722227663,1.8813332451770581
2023-08-17,1.3080323433810301,1.05311657259478,1.0713874941317698,1.04503615438625,1.0597739617552024,1.0879862083406058,0.8963215337423991,1.8936680552011749,1.3070508283659845,1.047437825778064,1.0656389363668746,1.0394091373390812,1.0537883411321942,1.0820018768253596,0.8929715850158078,1.8844946788855823,1.305414970007582,1.0380372164888074,1.0561224355593186,1.0300940632499092,1.0438829894546877,1.0720967942942812,0.8874141061633167,1.8692977183384611
2023-08-18,1.3124198260179776,1.0577030995364534,1.0756630471536315,1.0503876050799146,1.0645229643697538,1.0928568419114422,0.8998172376607817,1.901240998134559,1.3114350187448254,1.0519996206758713,1.0698915487965996,1.044731773044715,1.058510521302513,1.086845720087869,0.896454223947521,1.8920309366907817,1.3097936732895783,1.0425580699097683,1.0603370707828432,1.035368998060711,1.0485607822908087,1.0768962950576595,0.8908750706178812,1.876773202179254
2023-08-21,1.3103769940821488,1.0566569871302767,1.073847873712652,1.0479363511259234,1.063166396958611,1.0908929715584526,0.8967840158743671,1.8994111133690812,1.3093937196993937,1.0509591492477697,1.068086114716436,1.0422937179142557,1.0571616158062365,1.0848926517571431,0.8934323386481574,1.8902099163202657,1.307754929061475,1.0415269365685025,1.0585477598137027,1.0329527925209065,1.0472245561750102,1.0749611059038733,0.8878719922592173,1.8749668668991426
2023-08-22,1.3046434916215852,1.0541518351288572,1.0707936792201744,1.0430071679498838,1.060370108462673,1.09056373194513,0.8912855393823348,1.900848709099587,1.3036645195168146,1.048467505840103,1.0650483075847978,1.0373910760187677,1.0543811207933367,1.0845652230849694,0.8879544123868507,1.891640547996755,1.3020328993422032,1.039057655315025,1.05553708128354,1.0280940875804139,1.0444701971325567,1.0746366746461131,0.8824281583025971,1.8763859616615781
2023-08-23,1.3118756381114496,1.0613391507213883,1.0784613847729538,1.0498133764232676,1.0672479701190996,1.0976464965152564,0.8971795137167874,1.9162742358226073,1.3108912391834,1.0556160650911197,1.0726748718618615,1.0441606363331901,1.061220136174936,1.091609029797995,0.8938263583407803,1.9069913498169035,1.3092505743033236,1.0461420572377058,1.0630955378717566,1.0348029798156222,1.0512449274487037,1.0816159995053456,0.8882635597393108,1.8916129713945207
2023-08-24,1.2986223493244375,1.0504029400022388,1.0665931890977112,1.0381255413462862,1.0560799152567255,1.0861654117934667,0.8887208365306952,1.8956646746564345,1.2976478953354478,1.0447388259743782,1.060870355302511,1.0325357346264532,1.050115158668598,1.080191095340982,0.8853992949604503,1.8864816262435746,1.2960238053538045,1.035362439834221,1.0513964394681585,1.0232822592410185,1.0402443340043992,1.0703025894355387,0.8798889428503482,1.8712686425360023
2023-08-25,1.302333487106421,1.0538410210133138,1.0696457584759236,1.0423784389172428,1.0589879695635658,1.0886882395491222,0.891964600662934,1.9032499131053107,1.3013562483717218,1.0481583677352835,1.0639065460394772,1.03676573238956,1.0530067882372771,1.0827000465993712,0.8886309357160714,1.8940301200018783,1.2997275171472296,1.038751291681843,1.0544055160385772,1.0274743482142705,1.043108782965094,1.072788572739978,0.8831004712356996,1.8787562636566062
2023-08-28,1.3128320698242018,1.0639776410901354,1.0796444679196882,1.0524225707476937,1.068844728669209,1.1001718669085934,0.8997445404850531,1.917871546418684,1.3118469532135262,1.0582403278623032,1.0738516071448705,1.0467557814011565,1.0628078762067086,1.0941205097086069,0.8963817984731878,1.9085809226623482,1.3102050921957402,1.0487427676142964,1.0642617645276042,1.037374867469629,1.052817743114004,1.0841044883137028,0.8908030958891807,1.893189725590972
2023-08-29,1.330305796272428,1.0791025351590229,1.0950939279462728,1.0672595510709155,1.0840402900229003,1.1152242542623532,0.9099989830384558,1.9447484821205618,1.329307567810991,1.073283663586861,1.0892181726875398,1.061512871721667,1.0779176127820045,1.109090103295929,0.9065979156539642,1.9353276601255613,1.3276438537086024,1.063651091486052,1.0794911016635351,1.0519997063169342,1.0677854518752778,1.0989370441905413,0.9009556322616319,1.9197207717505445
