strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,exclude_pct,turnover,grp
multi_text_seed52,0.3423883270432093,0.10653096520249528,0.19627574471424028,0.6134483245071684,1.0048916603466755,-0.22026674101251723,0.48364525989169366,733,5,0.1844309961202025,multi_text
naive_vol,0.21865221508961397,0.07034759225024168,0.19413723897527327,0.4467411784346758,0.7488484924976827,-0.22549434496886633,0.3119705385957881,733,5,0.15726210541816976,naive_vol
multi_text_seed42,0.3107983321082204,0.09750869518649696,0.19444448595766706,0.5752909799165715,0.9331914832814977,-0.22414179126817585,0.4350313015471179,733,8,0.2295474444779355,multi_text
multi_text_seed43,0.2385922048501845,0.07633652849173789,0.18813656470072304,0.48493877653259376,0.7626827076981949,-0.2181043823104727,0.3499999756220966,733,8,0.22608444924784474,multi_text
multi_text_seed44,0.24023611592594274,0.07682744269636244,0.18674892396240877,0.4895773217146095,0.7769472637423519,-0.21839294198142123,0.3517853736449879,733,8,0.22027790036240308,multi_text
multi_text_seed45,0.18357622382080896,0.05965459430940867,0.18669666508575,0.40357332618957914,0.6302871108189497,-0.21906002772155325,0.27232076490575224,733,8,0.2218556118881898,multi_text
multi_text_seed46,0.19740065946653518,0.0638935141718393,0.18559682846379402,0.42636250908365464,0.6699112191386632,-0.21276953786248737,0.30029446326632336,733,8,0.21861338352748125,multi_text
multi_text_seed47,0.19049792459055626,0.061780999599544195,0.18651632626855894,0.4145058469656961,0.6543570587297365,-0.22576723725918546,0.27364909253249325,733,8,0.20623296256018164,multi_text
multi_text_seed48,0.2428773790137846,0.07761529853668292,0.18770078322716766,0.4919562968809865,0.7738940038277791,-0.2191070563630092,0.35423459118583794,733,8,0.21468377064731858,multi_text
multi_text_seed49,0.20220786061431073,0.06535999486444521,0.1864344235387153,0.43265582543251,0.6811236195066739,-0.22187245682960716,0.2945836351135741,733,8,0.2059279318454288,multi_text
multi_text_seed50,0.27009740836137164,0.08567142149836116,0.18851446904758504,0.5301617143685855,0.8380991253438183,-0.2193704298965207,0.39053313401798617,733,8,0.22659415322565143,multi_text
multi_text_seed51,0.24815274672652166,0.0791855924600855,0.18813790110507966,0.49898479437502835,0.7885582119552117,-0.22589415865215706,0.3505428955425951,733,8,0.22766229029182178,multi_text
multi_text_seed52,0.32338110978487355,0.10111932034211901,0.19523522667244705,0.5905468934899161,0.9608596326045932,-0.21872440291178497,0.46231384791070634,733,8,0.2326202491118082,multi_text
naive_vol,0.18740938060880352,0.06083317776037234,0.19041394463935604,0.4048337286636234,0.6758672107744708,-0.2286532053624434,0.2660499670841888,733,8,0.1832776266094715,naive_vol
multi_text_seed42,0.30756703156653864,0.09657780679992234,0.19432729399686718,0.5711414611233057,0.9247764057982096,-0.22344690887654903,0.43221813756788235,733,10,0.26069561121192897,multi_text
multi_text_seed43,0.2417919555583552,0.07729166336229087,0.18831420499304796,0.4893612368264203,0.7725670518126331,-0.21726658402023702,0.3557457476069658,733,10,0.258402135223328,multi_text
multi_text_seed44,0.2394723581445768,0.07659941808406456,0.18708471262169998,0.48790242128726524,0.7699763016962264,-0.21590275816083435,0.354786658292724,733,10,0.24975914734971644,multi_text
multi_text_seed45,0.16965864418604126,0.0553541666918278,0.18697941533623005,0.381490038614794,0.5955803325752983,-0.22021074085415884,0.25136905891655736,733,10,0.25440326339280683,multi_text
multi_text_seed46,0.19849016391243102,0.0642262155756026,0.18596169587840053,0.42757364990190755,0.6711919755498861,-0.21223432514164517,0.3026193596758584,733,10,0.2510321768945151,multi_text
multi_text_seed47,0.19462336196687402,0.06304451270480538,0.1866764890707708,0.4206756277742462,0.6652216594404154,-0.22380487664804719,0.28169409732723744,733,10,0.2354278967869902,multi_text
multi_text_seed48,0.24596439842960383,0.07853472671807427,0.18740732169207294,0.4969810906192537,0.7842551223677275,-0.2171560977769825,0.3616510313181662,733,10,0.2448075119358132,multi_text
multi_text_seed49,0.2045691959020952,0.06607893276115817,0.1866643835202203,0.43597216025036517,0.6837801616327908,-0.22485409828708322,0.2938747092649905,733,10,0.23257747256529657,multi_text
multi_text_seed50,0.27659557826711567,0.08757785390151418,0.1888909983695265,0.5387683420166276,0.8527506981151658,-0.21681194004817558,0.4039346443837659,733,10,0.2611367071489011,multi_text
multi_text_seed51,0.25199923568010396,0.08032781533330446,0.18810831413508014,0.504658200342157,0.7971250925202871,-0.2226815654238822,0.36072952505250105,733,10,0.2582069107841456,multi_text
multi_text_seed52,0.32049283085698166,0.10029252807587463,0.19558090519907473,0.5859850326676815,0.9575411040181513,-0.216698977800727,0.4628195716183861,733,10,0.26502889418977904,multi_text
naive_vol,0.099257587300138,0.03306987081661861,0.1812372764015117,0.2699754637550283,0.4342993243469568,-0.2311742344164415,0.1430517155170759,733,10,0.19502789538671714,naive_vol
multi_text_seed42,0.2862624043159734,0.09040215916244598,0.1940749425396013,0.5424377881853107,0.8916265851361205,-0.2144365348613528,0.4215800223637118,733,15,0.33657889860552576,multi_text
multi_text_seed43,0.19627145312978733,0.06354847931732488,0.18663137632726204,0.42331816190817,0.659528713697269,-0.2205098054266485,0.2881889047716927,733,15,0.3317967041374327,multi_text
multi_text_seed44,0.19433526948914093,0.06295637062416604,0.18582231384828174,0.42132674179915336,0.6604116591364029,-0.2156798150694126,0.2918973692735441,733,15,0.3325243355186121,multi_text
multi_text_seed45,0.17094171205568776,0.055752025563746255,0.1873185802593772,0.3831586758919083,0.5967764827381283,-0.22690793310417967,0.24570328944007863,733,15,0.3354492021009835,multi_text
multi_text_seed46,0.2278313629279891,0.07311245651983667,0.18585061397557118,0.47248845659080313,0.7378096346553641,-0.21787538545116106,0.335570061613158,733,15,0.32994982550437485,multi_text
multi_text_seed47,0.20062052377839978,0.06487618945459284,0.1874848711351237,0.4288350410034757,0.6814720048235543,-0.22060541576925338,0.29408248763235884,733,15,0.3129546952109533,multi_text
multi_text_seed48,0.25794928328421585,0.08209016692158988,0.1873998851616587,0.5145573410241681,0.8082212523765702,-0.216005952983763,0.38003659523106076,733,15,0.3177842080157063,multi_text
multi_text_seed49,0.1669382955732388,0.05450968171338899,0.18517680165706774,0.37906715154633897,0.591806111712107,-0.21761737536250828,0.25048405083733066,733,15,0.3054730541678079,multi_text
multi_text_seed50,0.24838478481320236,0.07925456206773496,0.18898688146731965,0.4979180331921819,0.7792494943192191,-0.2245200108876915,0.35299553814550344,733,15,0.3463722282967946,multi_text
multi_text_seed51,0.23279063732794292,0.07460060607654384,0.18763499292433128,0.47710263731020286,0.7576165181630713,-0.21924157599385724,0.3402666932052797,733,15,0.3362863615914557,multi_text
multi_text_seed52,0.33717496052006046,0.10505167132139581,0.19627929380065823,0.6065342641083344,0.9912484419144236,-0.21572044374944063,0.4869806008901658,733,15,0.3456377121572545,multi_text
naive_vol,0.07897164712139437,0.02647554245289907,0.17743842430647286,0.23580728879222987,0.3816966173120757,-0.2307168883722773,0.11475337865245042,733,15,0.23601792976686609,naive_vol
multi_text_seed42,0.28759079458563663,0.09078917815408083,0.19552433342524814,0.5415891972532769,0.8931343994999835,-0.21442590312726773,0.4234058331105404,733,20,0.4170828307846234,multi_text
multi_text_seed43,0.1809704145434583,0.058851953433305404,0.186936670558576,0.3992380419117948,0.6240044017715048,-0.22032532970469862,0.2671138788816724,733,20,0.4089048931027215,multi_text
multi_text_seed44,0.17873161995060927,0.058161431675660236,0.18651388243118736,0.3962054189472874,0.6213436884621996,-0.21462365153392962,0.27099264810740376,733,20,0.4115297791027264,multi_text
multi_text_seed45,0.1707186533688061,0.055682879175545485,0.1872386713748437,0.3828731877078658,0.5980719108759328,-0.23064236549201428,0.2414251998186059,733,20,0.41979626408905957,multi_text
multi_text_seed46,0.23513099571734286,0.07530152272188229,0.18664805329534287,0.48217986596025625,0.7532145946459732,-0.2217683236097155,0.33955039879547244,733,20,0.409202135518768,multi_text
multi_text_seed47,0.1741217645054014,0.05673687744174294,0.18597823701960686,0.38957176387548836,0.6102719940393164,-0.2231903232347783,0.25420850070663814,733,20,0.3939598053901842,multi_text
multi_text_seed48,0.2427433744376486,0.07757535311371377,0.1874035097488681,0.49222092876024637,0.770084872180504,-0.2174725598072761,0.35671329377122774,733,20,0.3913016477851233,multi_text
multi_text_seed49,0.18201353287667255,0.059173393900961546,0.18510528705649187,0.40297431847368353,0.632923818534699,-0.21667956041770345,0.2730917202660472,733,20,0.3876612434382911,multi_text
multi_text_seed50,0.28368996992277995,0.08965194855756708,0.1901752303819821,0.5464109551994708,0.8573098658270334,-0.2229084488492868,0.4021917922823226,733,20,0.4251641408876383,multi_text
multi_text_seed51,0.2410552839601785,0.07707190799011854,0.18804978708053927,0.4886838468238625,0.7737775844168676,-0.22116248460605933,0.3484854500861714,733,20,0.4197490593413082,multi_text
multi_text_seed52,0.34241083210080614,0.10653734283823457,0.19626348087689155,0.6133269114018991,1.0092648650377505,-0.21727780625357201,0.490327772887679,733,20,0.4241005617884288,multi_text
naive_vol,0.01704301988140089,0.005826805219398379,0.17212655691824566,0.11967788907574917,0.19149126049528867,-0.23003085007358556,0.025330538132317542,733,20,0.2792254322499882,naive_vol
multi_text_seed42,0.18437655460081426,0.059900879246266525,0.18906032011256893,0.4020595388673477,0.6317048488714849,-0.22534104243458572,0.2658232100069172,733,30,0.5727061798807782,multi_text
multi_text_seed43,0.19117564809338083,0.061988765523321776,0.18851197963813213,0.41314291650486185,0.6488110914214836,-0.2302499907368448,0.2692237481745196,733,30,0.5714642303546834,multi_text
multi_text_seed44,0.2009853470739822,0.06498742131172497,0.18762178668674745,0.42922607851627115,0.6734906724141293,-0.22395359458985986,0.2901825328177495,733,30,0.5702566152217646,multi_text
multi_text_seed45,0.2426609747755919,0.07755078919577207,0.18715853781376066,0.49250600185539967,0.7715224605204533,-0.21566392555317032,0.3595909190508197,733,30,0.5870998333121524,multi_text
multi_text_seed46,0.19029072403068814,0.06171746378536791,0.18770917838112774,0.4127409352807777,0.6490693215257082,-0.22471444495750426,0.2746484045431049,733,30,0.5769421703475497,multi_text
multi_text_seed47,0.18556760015330398,0.06026719630926758,0.18720330375312824,0.4060351182928624,0.6397089073111999,-0.21819531260624372,0.27620756646604067,733,30,0.5602894058983101,multi_text
multi_text_seed48,0.2035037415735148,0.06575465654786594,0.18695636603413496,0.43396080333239595,0.6722352141300386,-0.22508877653235598,0.2921276554116143,733,30,0.5494802429298008,multi_text
multi_text_seed49,0.17468242979921333,0.0569103320863904,0.18564453624949706,0.390785680927207,0.614687829256922,-0.21250236915311327,0.26781034165969736,733,30,0.5498254225822605,multi_text
multi_text_seed50,0.21641460356469877,0.0696715277454667,0.18911444394690022,0.45055015204920473,0.7054454388243371,-0.22751932043274584,0.30622246766977945,733,30,0.6083811704405584,multi_text
multi_text_seed51,0.278516174027843,0.0881400985104428,0.18995172412107292,0.539453650595605,0.8596660420760845,-0.22250656883767142,0.39612357950090443,733,30,0.5781657312652478,multi_text
multi_text_seed52,0.242864548069758,0.07761147388303802,0.18852432521663803,0.4905800479030165,0.7745903475312332,-0.22178204866209003,0.3499447964848041,733,30,0.5947439579792203,multi_text
naive_vol,0.021103774610283343,0.007205661973756383,0.16419584369111795,0.1257098527238126,0.19911158791779202,-0.22229128113091,0.032415405305585884,733,30,0.35325927831970294,naive_vol
