strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,exclude_pct,turnover,grp
multi_pure_seed45,0.22813263824844143,0.0732029738375728,0.1879581567595288,0.4696807117745081,0.742981497929509,-0.21823084302234136,0.33543825805630345,733,8,0.21961172003373985,multi_pure
multi_pure_seed46,0.22356175109435594,0.07182809393724865,0.18729596494055237,0.46384557288811157,0.7309668102596578,-0.22779175309266664,0.31532350474526916,733,8,0.20771550551809376,multi_pure
multi_pure_seed47,0.17739054186727765,0.05774738450967143,0.1871521269273615,0.3934138621213475,0.6163782014531667,-0.22790786678173,0.25338039149379943,733,8,0.21785062227395124,multi_pure
multi_pure_seed48,0.6472883280077955,0.1871997564313792,0.2669670821592617,0.7651058163725195,1.7222739458722598,-0.2244598415672004,0.8340011073888868,733,8,0.23247675026361586,multi_pure
multi_pure_seed49,0.22247788789002332,0.07150158388916128,0.18693376795452937,0.4627648616853758,0.7311509039097905,-0.21456954529789818,0.3332326765659678,733,8,0.2196355876702694,multi_pure
multi_pure_seed50,0.20194668443038455,0.06528041963152109,0.1861164447979279,0.4326945887861063,0.6818455592917769,-0.21975576060043514,0.2970589687986174,733,8,0.2237107541264224,multi_pure
multi_pure_seed51,0.1784015982402385,0.058059568790970184,0.18701108263645957,0.39513055999543906,0.622915687248109,-0.22992127781907254,0.25251933766938206,733,8,0.21671795321894285,multi_pure
multi_pure_seed52,0.2537597942388232,0.08084984870937895,0.1883174307193566,0.5068537932712752,0.802767620155694,-0.21649057235708416,0.3734566721733429,733,8,0.21154848605622006,multi_pure
naive_vol,0.18740938060880352,0.06083317776037234,0.19041394463935604,0.4048337286636234,0.6758672107744708,-0.2286532053624434,0.2660499670841888,733,8,0.1832776266094715,naive_vol
multi_pure_seed43,0.2655885704677847,0.08434485473125819,0.18879139265371805,0.5231657603827888,0.8273822642107264,-0.22378834541917456,0.37689565367344363,733,10,0.2406897945918539,multi_pure
multi_pure_seed44,0.18478509811156685,0.060026557803879665,0.18533394411660106,0.40706891550290286,0.6389053476769702,-0.2266994576927976,0.264784743707778,733,10,0.24434367595749829,multi_pure
multi_pure_seed45,0.22883638127010597,0.07341435468199897,0.18829255383144952,0.4702236202175785,0.745139265718151,-0.21746208114893176,0.3375961192596156,733,10,0.24872538768845986,multi_pure
multi_pure_seed46,0.24372610221669766,0.07786822881812405,0.1874166635857496,0.49364799583010965,0.7819333108282569,-0.22586098554188874,0.3447617508234171,733,10,0.23667952832094588,multi_pure
multi_pure_seed47,0.160958202183211,0.052648713775762745,0.18647730568873605,0.3682473006700964,0.5766276436372906,-0.2297726713744082,0.22913392380755815,733,10,0.24739473228253125,multi_pure
multi_pure_seed48,0.2501572313298883,0.07978111608650007,0.1873701688544627,0.5031941726933256,0.8017012200247944,-0.22322009142386995,0.3574101039812078,733,10,0.2528118294652996,multi_pure
multi_pure_seed49,0.23176320404107398,0.0742926230748604,0.18701002604005626,0.4765672024918909,0.7518335407369889,-0.2172017344544766,0.3420443361626627,733,10,0.2497296715986506,multi_pure
multi_pure_seed50,0.19256825729944116,0.062415446646557404,0.18636549363333532,0.41790930851995434,0.6589127699235949,-0.22368654158545856,0.2790308536408384,733,10,0.25167773278870154,multi_pure
