strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,mode,turnover,avg_invested,avg_cash
multi_pure_seed47__cash,0.14359683883028462,0.04721006965302421,0.14971699175915473,0.3828631179815551,0.6020080718512609,-0.1886752715239163,0.25021863899657837,733,cash,0.3170355172088797,0.778028335741038,0.20000000000000004
multi_pure_seed47__timing,0.11477124535671379,0.03805918597694946,0.16640692246769395,0.3076617061899381,0.4516264847782789,-0.24005227408788543,0.1585454090012729,733,timing,0.4379643582036414,0.8337285828632713,0.14218648934964162
multi_pure_seed47__timing_oracle,0.30785334934119835,0.09666035149491248,0.17651891927406088,0.6108823455527445,0.9595244139072695,-0.21449417953906458,0.4506432375117586,733,timing_oracle,0.43983072988345645,0.9013713090266584,0.0715752937285646
multi_pure_seed48__renorm,0.20677346526425855,0.06674921586375304,0.18705676328530252,0.43882504971910674,0.6889273393232624,-0.23758578849216744,0.28094784745912355,733,renorm,0.4054688235747632,0.9727148703956344,0.0
multi_pure_seed48__cash,0.16922108364843358,0.0552184206667814,0.14941001832945802,0.4343365132186937,0.6824056620937551,-0.19367369188890982,0.28511059054140603,733,cash,0.32451268391471305,0.7781490751883441,0.20000000000000004
multi_pure_seed48__timing,0.13233434806178268,0.04365293266040782,0.17016069179484025,0.33616797694617906,0.4965502837995659,-0.24952513923648648,0.17494402685829552,733,timing,0.4584954021426527,0.8628504246596025,0.11280616050597222
multi_pure_seed48__timing_oracle,0.3430982758244405,0.10673212150478806,0.17611708203907506,0.6637988552056284,1.0421394775347619,-0.22022768055981334,0.48464444266714174,733,timing_oracle,0.4499592375939288,0.901408862027275,0.0715752937285646
multi_pure_seed49__renorm,0.2388841719034034,0.07642374858839562,0.1878593567433153,0.4858109775974884,0.7626783048140429,-0.2237122532857332,0.3416162837123835,733,renorm,0.39561867763748615,0.9727148703956344,0.0
multi_pure_seed49__cash,0.19369722758741847,0.06276111161201525,0.15006116157399538,0.4805691569076092,0.7548588958973395,-0.18210051228849697,0.3446509338347412,733,cash,0.31668122947687977,0.7781170922115286,0.20000000000000004
multi_pure_seed49__timing,0.15697502148182907,0.0514056798132434,0.16357739025843424,0.38827401885726065,0.5662344293825813,-0.2216244632701577,0.23194948362077006,733,timing,0.43812752385137144,0.8263471895248328,0.1496944568119276
multi_pure_seed49__timing_oracle,0.37415573924408485,0.11546447816621908,0.1768922014747535,0.7061014605656545,1.1088226593329062,-0.20693948496987208,0.5579625279488316,733,timing_oracle,0.4397086119230231,0.9014155761072575,0.0715752937285646
multi_pure_seed50__renorm,0.21443411079950092,0.06907246710949022,0.18794922946212317,0.4491988661451246,0.7060875958688269,-0.22536789318038178,0.3064876107006309,733,renorm,0.4142552639390301,0.9727148703956344,0.0
multi_pure_seed50__cash,0.175056989280296,0.057026180369400326,0.1501260983730975,0.44437645491545286,0.6988956047785442,-0.1833491852100311,0.3110250002151654,733,cash,0.33164923038033495,0.7780931146007787,0.20000000000000004
multi_pure_seed50__timing,0.1336493702896926,0.04406946206714202,0.16616449031981878,0.34264156982230864,0.5035009524679255,-0.22923398070918394,0.19224663782744508,733,timing,0.4547262867399772,0.8415841558049044,0.13427110908189296
multi_pure_seed50__timing_oracle,0.3530504371363481,0.10954464307864265,0.17699641986225745,0.6757105124741216,1.0629950708170348,-0.2075422779616702,0.527818448147099,733,timing_oracle,0.4573680942062153,0.901376740282859,0.0715752937285646
multi_pure_seed51__renorm,0.20360243896965757,0.06578470349619048,0.18861782491571205,0.4319296921974638,0.6817983479673956,-0.23049670370182523,0.28540409662990573,733,renorm,0.3945991763547945,0.9727148703956344,0.0
multi_pure_seed51__cash,0.1666017613175561,0.054405120739141166,0.15068877572166867,0.42679259122983243,0.6739262785688049,-0.1877327625154024,0.2898008850995176,733,cash,0.3158367671286366,0.7780642727730888,0.20000000000000004
multi_pure_seed51__timing,0.1459667959902886,0.04795566443971788,0.1711331238188361,0.3592259010785019,0.5309740198591479,-0.24243641840946387,0.19780718076243392,733,timing,0.4366400869925436,0.8470390244510566,0.12858947458542078
multi_pure_seed51__timing_oracle,0.3399879599042832,0.10585032966971619,0.17756784954990948,0.655305684911969,1.034252435300856,-0.21300055716094424,0.4969486046448939,733,timing_oracle,0.43964015818861824,0.901379060612841,0.0715752937285646
multi_pure_seed52__renorm,0.24604718785443924,0.07855936386784279,0.1876808356625846,0.49666012788698866,0.7780743528848255,-0.22569923539068537,0.34807102350992253,733,renorm,0.3850002604355228,0.9727148703956344,0.0
multi_pure_seed52__cash,0.19951678971107079,0.06453953419141811,0.14990827652232103,0.4920634418225453,0.7713830323441615,-0.18364254159610896,0.3514410856573855,733,cash,0.3081117620768801,0.7781241145884109,0.20000000000000004
multi_pure_seed52__timing,0.1865509323430583,0.06056944726043212,0.16399358249163593,0.4405916414485866,0.6533668555505165,-0.21686853433372733,0.279291080407382,733,timing,0.4166022965087111,0.8351255932194466,0.14058677154491278
multi_pure_seed52__timing_oracle,0.3840840970598327,0.11822866328721338,0.17680904634936204,0.7203554976133205,1.1289121109611349,-0.20852275314007124,0.5669820751301682,733,timing_oracle,0.4312819970880043,0.901424378594545,0.0715752937285646
equal_weight_rebal,0.5433501041136624,0.1608943336823503,0.24712084089159392,0.7191148478101987,1.5700099537374428,-0.22282196297337845,0.7220757394618817,733,benchmark,0.10956597112059807,1.0,0.0
