strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,turnover,avg_invested,grp
multi_text_seed52,0.3422817917374865,0.10964635076447404,0.19891286827111052,0.6218787822950715,1.0375861097675174,-0.21719275789692444,0.5048342855727728,713,10,0.42390294777520765,1.0,multi_text
naive_vol,0.06908943817686475,0.023893088152422637,0.17214585053712136,0.2230988402894454,0.35539233408381604,-0.213717338031444,0.11179761254984036,713,10,0.2799274789402908,1.0,naive_vol
inv_vol,0.8378097348163918,0.2399762795338629,0.3120996479315381,0.8308692063090142,1.9560117895952118,-0.2446791629783546,0.9807793872300122,713,10,0.35162477474379594,1.0,inv_vol
oracle,2.0113572926999694,0.47642678773542335,0.29475310579340397,1.4548538919049978,3.6706174363410304,-0.15298262131168291,3.1142543097412583,713,10,0.3862294782881117,1.0,oracle
buy_hold_true,0.14627402916218202,0.049432922386234424,0.18018727856832667,0.35776188828927,0.5639892224710421,-0.2226566548646186,0.22201412491484257,713,25,0.9975062344139651,1.0,buy_hold_true
equal_weight_rebal,0.6811297125053046,0.2015328141037993,0.26562411725752216,0.8148307448609245,1.8046960799430332,-0.2273272668410017,0.8865316374245432,713,25,0.11921741597404366,1.0,equal_weight_rebal
multi_text_seed42,0.2588024765067942,0.0847474273594453,0.19809581717041871,0.5090602168133322,0.8511480319674264,-0.21690236984088207,0.3907169267980583,713,25,0.41670796264969034,1.0,multi_text
multi_text_seed43,0.15512919682449922,0.0522911226189271,0.18954442139644437,0.3635303187348554,0.5763172875446966,-0.2227879090997195,0.2347125695924624,713,25,0.40856720324269596,1.0,multi_text
multi_text_seed44,0.15276838664998693,0.05153050812771953,0.1891205195796987,0.36008036573099544,0.5734553372909752,-0.21716148154491244,0.23729119805743362,713,25,0.4111863914837666,1.0,multi_text
multi_text_seed45,0.14444204540298733,0.04883982858012881,0.18983529268564683,0.3459442449767169,0.5484853307945651,-0.2332079394694285,0.20942609711849575,713,25,0.4194436983336357,1.0,multi_text
multi_text_seed46,0.20807104026136614,0.06909045149970194,0.18924566289628728,0.44751628183823733,0.7099849241604224,-0.22427969656077823,0.3080548643464876,713,25,0.40885590387636694,1.0,multi_text
multi_text_seed47,0.1493556722104612,0.050429204921249804,0.18857179599853938,0.3550274978766102,0.5648014066008106,-0.22584911498842078,0.22328714869586846,713,25,0.3936339096527285,1.0,multi_text
multi_text_seed48,0.21668947952154927,0.07177989702155907,0.19000695607145232,0.4596647521614541,0.7303481565604908,-0.21988904370743123,0.3264368965880097,713,25,0.3909783713412587,1.0,multi_text
multi_text_seed49,0.1574815921806001,0.05304802692220645,0.18768580129457615,0.36908058795773535,0.5887007958408857,-0.21887319555511536,0.24236876876432412,713,25,0.3873398004437935,1.0,multi_text
multi_text_seed50,0.25443740047781316,0.08341647848321143,0.19284248727888917,0.5117255135545525,0.814905431752796,-0.22564562537724592,0.36967913002413183,713,25,0.4247921763820848,1.0,multi_text
multi_text_seed51,0.21314960153898754,0.07067674820957248,0.19067254816694018,0.45331733356969295,0.7290435967331403,-0.2237050771134563,0.315937166565636,713,25,0.4193777284610445,1.0,multi_text
multi_text_seed52,0.3119032096915271,0.10070454690017372,0.1988390073277599,0.5813450917718119,0.9699482102358779,-0.22038525076675797,0.45694776102214363,713,25,0.42371609576757724,1.0,multi_text
naive_vol,0.053049877443660076,0.018437233247043716,0.17218788835657456,0.19205588557339687,0.3061230840320088,-0.2155590605909894,0.08553216550719378,713,25,0.279834717039989,1.0,naive_vol
inv_vol,0.8032475308086025,0.23168378704604953,0.31213264068671476,0.8093055745837145,1.9044083172051784,-0.24715309271460045,0.9374100259129102,713,25,0.35144750772952316,1.0,inv_vol
oracle,1.9492119641069405,0.46558527258394355,0.29472662536469757,1.4299221240792568,3.60540401357859,-0.15412608649624204,3.0208077241700133,713,25,0.3860030226119389,1.0,oracle
buy_hold_true,0.1434226012289257,0.04850952374336592,0.180206717562465,0.35285665207704753,0.556682061442752,-0.22265665486461897,0.2178669385510214,713,50,0.9950248756218751,1.0,buy_hold_true
equal_weight_rebal,0.6632033621379341,0.19698878983908075,0.26564710273521364,0.800514079217914,1.7715400934421086,-0.22824268757557473,0.8630672549974013,713,50,0.11909038365991982,1.0,equal_weight_rebal
multi_text_seed42,0.21245542338258594,0.07046017420747885,0.198036182664497,0.44220948600799387,0.7393253919504842,-0.22169391302621874,0.3178263816343295,713,50,0.41641179804303613,1.0,multi_text
multi_text_seed43,0.11340889368742202,0.03869837994473224,0.18973451702992136,0.2948219510015828,0.46838904869236647,-0.22701653079229497,0.17046503093705845,713,50,0.4083128440555214,1.0,multi_text
multi_text_seed44,0.11087142302619934,0.0378611069891277,0.18931855390734584,0.2907766504932096,0.46348237858976254,-0.22149933414509307,0.1709310194328927,713,50,0.4109283410476443,1.0,multi_text
multi_text_seed45,0.10202708058011245,0.03493309214748197,0.1900063304264971,0.2755449270024335,0.4376392479638844,-0.23760821599465293,0.14701971479078862,713,50,0.4191797811799156,1.0,multi_text
multi_text_seed46,0.16441113295784793,0.05527190491804679,0.18942643677086438,0.378575934678894,0.6012406059514878,-0.22858237805909704,0.24180300068344265,713,50,0.40858858506529666,1.0,multi_text
multi_text_seed47,0.10933779821841538,0.03735446694558808,0.18874955952267672,0.2885028939704186,0.459533799452732,-0.2303807129674711,0.16214233589450866,713,50,0.393381078098575,1.0,multi_text
multi_text_seed48,0.17460791818507482,0.05852882404475124,0.19017043694704835,0.3939999934700647,0.627121414191321,-0.22402553729827324,0.26125960794739433,713,50,0.39072887215502655,1.0,multi_text
multi_text_seed49,0.11781495501013728,0.040149293595454605,0.18785892688664427,0.303298049583215,0.48455602991903046,-0.2226363021980734,0.18033579070018366,713,50,0.3870897816186991,1.0,multi_text
multi_text_seed50,0.20736901083221415,0.0688708324980416,0.19307028058139783,0.4413221142182903,0.7037805461871535,-0.23032822179899515,0.2990116971342939,713,50,0.42450007964363107,1.0,multi_text
multi_text_seed51,0.16820145354065708,0.05648470309763898,0.19086810974341925,0.3831218483506076,0.6171694355223608,-0.2280587517150419,0.24767610395507333,713,50,0.4190846634404207,1.0,multi_text
multi_text_seed52,0.26280361352547854,0.08596478941149144,0.19877560207254596,0.5136457126524314,0.8572952756532322,-0.22567693729450214,0.38091969184830693,713,50,0.4234128883808971,1.0,multi_text
naive_vol,0.026854774475832732,0.009410240864588193,0.17229135369287202,0.1403680930377205,0.22400426441079999,-0.21861920970116655,0.04304397988379509,713,50,0.2796847505834516,1.0,naive_vol
