n,base_rate,roc_auc,pr_auc,mcc,precision,recall,f1,accuracy,flag_rate,ablation,seed,year,threshold
53162,0.12627440653098077,0.6165253599477432,0.17297556908617356,0.11243470413969579,0.16919114758391898,0.5773871592432593,0.2616973870771724,0.5886159286708551,0.43092810654226704,multi_xs,45,2023,0.4877808871072869
46812,0.11779031017687773,0.6244785702854241,0.16019332467731134,0.11944479390931224,0.16176832570275193,0.5959376133478419,0.25446238432648005,0.588673844313424,0.4339271981543194,multi_xs,45,2024,0.4877808871072869
51187,0.14722488131752204,0.6195152153461388,0.20892048040214778,0.1213672382807634,0.21156522839428066,0.4437367303609342,0.2865221489161169,0.6746439525660812,0.3087893410436244,multi_xs,46,2022,0.5031730824110898
53162,0.12627440653098077,0.6469173937254404,0.19709091382709626,0.1398347503504891,0.17996835721191878,0.6100104275286757,0.2779380323751994,0.599770512772281,0.428012490124525,multi_xs,46,2023,0.5031730824110898
46812,0.11779031017687773,0.6423672058425177,0.1706545722491551,0.13678888445716594,0.1714149544588011,0.5870511425462459,0.2653496188212148,0.6171067247714261,0.4034008373921217,multi_xs,46,2024,0.5031730824110898
51187,0.14722488131752204,0.5242514122098846,0.16291092076048241,0.021705344668427915,0.2288888888888889,0.013667728237791932,0.025795141497620837,0.8480082833531951,0.00879129466466095,fund_pure_only,42,2022,0.5349761373382746
53162,0.12627440653098077,0.5075350642941778,0.12744529740849544,-0.003597851755109782,0.10747663551401869,0.0034261879934455535,0.0066406813916558395,0.870565441480757,0.004025431699334111,fund_pure_only,42,2023,0.5349761373382746
46812,0.11779031017687773,0.5476169952611215,0.1341878560050165,0.0013199023920363576,0.1282051282051282,0.0018135654697134566,0.00357653791130186,0.8809706912757412,0.0016662394257882594,fund_pure_only,42,2024,0.5349761373382746
51187,0.14722488131752204,0.5402125253792374,0.16821499753884944,0.032267616160409046,0.27638190954773867,0.014596602972399151,0.027728762288883286,0.8492976732373454,0.007775411725633462,fund_pure_only,43,2022,0.5764739558210341
53162,0.12627440653098077,0.520351059971729,0.13133640877850933,-0.009463662337264254,0.0794979079497908,0.0028303292119767616,0.005466052934407365,0.8699446973402054,0.004495692411873142,fund_pure_only,43,2023,0.5764739558210341
46812,0.11779031017687773,0.5434200741786834,0.13302375112969872,-0.0014230380289761255,0.1095890410958904,0.0029017047515415306,0.005653710247349823,0.8797744168162009,0.0031188584123728958,fund_pure_only,43,2024,0.5764739558210341
51187,0.14722488131752204,0.5350247184760848,0.1658675697709947,-0.014433719735733857,0.07480314960629922,0.0025212314225053077,0.004878048780487805,0.8485552972434407,0.004962197432941958,fund_pure_only,44,2022,0.5648297229578663
53162,0.12627440653098077,0.5332497015662991,0.13571057235554052,-0.009589624619835393,0.08791208791208792,0.004766870251750335,0.009043379963261268,0.8680824649185508,0.006846995974568301,fund_pure_only,44,2023,0.5648297229578663
46812,0.11779031017687773,0.5681752252746227,0.13866008527582174,0.027613532612886894,0.375,0.003808487486398259,0.0075403949730700175,0.8819106212082372,0.0011962744595402888,fund_pure_only,44,2024,0.5648297229578663
51187,0.14722488131752204,0.5283656417474816,0.16433171415647443,0.01914747774943186,0.23170731707317074,0.010084925690021231,0.019328585961342827,0.8493367456580773,0.006407877000019536,fund_pure_only,45,2022,0.5595126995354591
