cell,seed,n_features,threshold,minutes,best_iteration,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1
I+III,42,41,0.17608969361885735,0.13,198,0.6835023671967346,0.28467139158914084,0.7653945699942677,0.22211756268438235,0.27499805764897833,0.45884106818771064,0.34389118290017,0.6202109845536887,0.187047185042137,0.712780456444873,0.09881491392603811,0.1914625035422624,0.3586180274078363,0.24964310307183285
I+III,43,41,0.1819033016563459,0.12,243,0.688639152973231,0.2825158192993546,0.7846757803679063,0.22205729939389734,0.2888708513708514,0.41521908218822917,0.34070843527284334,0.6275240109956873,0.19127947445255192,0.7438058502089361,0.09681152490371489,0.19826471052216438,0.30322331596216945,0.2397603922241935
I+III,44,41,0.1776565402059701,0.13,185,0.6860372322410646,0.282649918616544,0.7732112769024996,0.2175469858363429,0.27811928891842497,0.4340160746694322,0.33900364520048604,0.6256859506321233,0.1888894896382762,0.7316104146576663,0.1002119778613293,0.1968158744808491,0.3292800617641382,0.24637157917539174
I+III,45,41,0.17473517213845285,0.12,138,0.6697774255088265,0.2597947942959642,0.7492226719241258,0.2041459000694159,0.25748502994011974,0.4626652838994037,0.33084588644264196,0.6230981558313397,0.18783271559256415,0.7038958534233365,0.10533645610087365,0.19282717815659933,0.38370970855047287,0.25666930264835464
I+III,46,41,0.17037352135143302,0.12,178,0.6930140335414496,0.28808539995608906,0.7628063714846532,0.22628904385348148,0.27521755580779417,0.47148042520093336,0.34755602274356157,0.6251770718568795,0.18787499813081315,0.7185020893603343,0.09677190285333957,0.1916793668618486,0.3459274271376182,0.2466752688172043
II+III,42,15,0.2651850287304774,0.15,809,0.6711250759169443,0.29787319403605605,0.8695131060119161,0.2878133934078761,0.5304400241109102,0.22815659839253305,0.31907179115300943,0.5446751524543191,0.1502030338795713,0.8075216972034716,0.02393357837616729,0.1595744680851064,0.10422698320787492,0.12609457092819615
II+III,43,15,0.2463410510185696,0.14,712,0.6819954732218377,0.3076104351236587,0.8702687210130452,0.30291536248299833,0.5342064929636339,0.24850920404459426,0.3392169873921699,0.5449906614787352,0.1502665654200996,0.7910382513661203,0.025026989526178458,0.1573589296102385,0.1305249951746767,0.14269135411721265
II+III,44,15,0.24627969873527122,0.13,563,0.6631755197409797,0.2726804190607669,0.8452378884469072,0.2414166776842605,0.3894386386756682,0.2729452942701582,0.320948134598529,0.5403431650134761,0.14906772872716265,0.788614593378335,0.025874744942468844,0.15772284475477222,0.13515730553947114,0.1455707715094977
II+III,45,15,0.2641178460349407,0.14,739,0.6815283313051979,0.3054452303570447,0.8674720769858778,0.2755965151249604,0.512674366281686,0.2215452424163858,0.30939126499207964,0.5438898588781509,0.14925325509054538,0.793847637415622,0.02276562445163698,0.15570934256055363,0.12376954255935148,0.1379143479312848
II+III,46,15,0.2604483866104452,0.16,872,0.6776116819928948,0.31356642814165125,0.8738209800413417,0.32596744118510607,0.5619664004406499,0.26451905626134303,0.35971793741736446,0.5437577261683995,0.15075921524222474,0.802462230793957,0.026985654955732068,0.1615348176219801,0.11518046709129512,0.13447508520886736
I+II+III,42,47,0.12294515179551166,0.18,397,0.6882548862143566,0.2741711383973973,0.7553544442321388,0.2255392405390156,0.27036770007209804,0.48612911589318125,0.34747961452928094,0.6279832044305689,0.18953278965211057,0.6673095467695275,0.11539267268564259,0.19014900331562337,0.45937077784211544,0.2689645430145501
I+II+III,43,47,0.12223227692039118,0.18,380,0.6815571223439341,0.2707261326824787,0.7435772724904028,0.2146786407241005,0.259240281478445,0.491897848068447,0.3395373808778131,0.6304513829219238,0.19216358255917904,0.6671938283510125,0.11773314308201321,0.19114135625596942,0.4635205558772438,0.27066779374471683
I+II+III,44,47,0.12654229993505228,0.16,262,0.6736692790346868,0.25101708847164006,0.7292379579287463,0.20799839330924175,0.24959450434118882,0.5086855068706249,0.3348765761344968,0.6284840558528627,0.19114010514699606,0.6429508196721312,0.12315779128465551,0.18904628356049374,0.5106639644856206,0.2759402907242031
I+II+III,45,47,0.1141966097594479,0.2,508,0.681474700276121,0.2735200397845944,0.7196147232017231,0.2137981825938503,0.24786836200448767,0.5370106300233342,0.33918080772931036,0.6344714637067101,0.19321422302972238,0.6643844423015107,0.11841379778118961,0.19090819833087874,0.4691179309013704,0.2713785258691678
I+II+III,46,47,0.11551807882195753,0.2,517,0.6897237953898299,0.28219740893245504,0.7419444492695721,0.22640594863897393,0.2633845746090644,0.5152968628467721,0.34859247566429885,0.6340913353768316,0.19328151678516559,0.6756991321118612,0.11815446936948028,0.19297121960290076,0.45068519590812584,0.2702350813743219
I+II-xs,42,44,0.16282623843567154,0.15,270,0.6405216302413114,0.21797475032219957,0.6978842779968386,0.15963699913710333,0.21753976360717933,0.4831475239823697,0.300002012355865,0.6457745661093599,0.2028879579032107,0.6522340083574414,0.13765539613520328,0.19650035469378105,0.5212796757382745,0.28541234593994796
I+II-xs,43,44,0.17129749066255565,0.16,362,0.6379952698969089,0.21655469495447582,0.725477253382897,0.1563818587878476,0.2249422004623963,0.42883069743323826,0.2950936663693131,0.6491849014469464,0.20501135132223972,0.6876824172291868,0.13622511337373966,0.20359217722542614,0.46163867979154605,0.28256663959240935
I+II-xs,44,44,0.16314758086383946,0.15,257,0.6413147508771029,0.21791464744344927,0.6990567840330734,0.15964614241187547,0.2178877539039568,0.4811381903033446,0.2999434297721028,0.6452533531011467,0.20238641357093062,0.6515268402442944,0.1348367255116714,0.19524494365658734,0.517515923566879,0.2835238913488864
I+II-xs,45,44,0.16040848734492702,0.18,263,0.6448804729203412,0.220819884575755,0.696025638798659,0.16300791122335148,0.21844338944036829,0.4920922997148042,0.3025725843413108,0.6458756396432614,0.203071927218904,0.64623593699775,0.13510890505178566,0.19434742319481074,0.5262497587338352,0.2838625715773035
I+II-xs,46,44,0.15640252449453176,0.15,264,0.6414939417777981,0.21947386828763643,0.6764925567579774,0.1606868048453973,0.21213720316622692,0.5211304122374902,0.3015301530153015,0.6447521468283012,0.2030599179001773,0.6273545483767278,0.13668834516685563,0.1915552684324736,0.5580003860258638,0.2852034084322938
