strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,avg_turnover,exposure,exclude_pct,rebalance_days,period
I+II_seed46,-0.08483943979074582,-0.08516262673086528,0.23664905991450105,-0.25811544235481193,-0.398615086515437,-0.21713200924964707,-0.3922159014010216,251,10,0.1879570232546308,0.9203187250996016,20.0,20,2022
I+II+IV_seed42,-0.055081841626923755,-0.05529510915145641,0.23453132971008747,-0.12567811691025987,-0.1970820991532858,-0.1967114722779698,-0.28109753087160966,251,10,0.18406186689313386,0.9203187250996016,20.0,20,2022
I+II+IV_seed43,-0.07221893973127802,-0.07249597407838626,0.23971565333488262,-0.19449484226673208,-0.3080144404430962,-0.20836795523499066,-0.34792285597191586,251,10,0.19591145456241352,0.9203187250996016,20.0,20,2022
I+II+IV_seed44,-0.08064664668281873,-0.08095457749673596,0.23882286916037013,-0.2344138616478809,-0.3671920053853169,-0.21444918170283134,-0.3775000531777134,251,10,0.19118095996122922,0.9203187250996016,20.0,20,2022
I+II+IV_seed45,-0.06831892123243044,-0.06858155410557398,0.2351359348525412,-0.18498546941232757,-0.2909851967246077,-0.20790114971846607,-0.3298757808624205,251,10,0.1784012107057923,0.9203187250996016,20.0,20,2022
I+II+IV_seed46,-0.06361699077346106,-0.06386217420505536,0.23002170985419798,-0.172264421597724,-0.26822208551454546,-0.2083064626390029,-0.3065779784073676,251,10,0.17608556017360744,0.9203187250996016,20.0,20,2022
naive_vol,-0.14964316237116237,-0.15019215707167954,0.22315407522418151,-0.6179393248980881,-1.0243568182298277,-0.22551828856365616,-0.6659865948268111,251,10,0.12789290862449568,1.0,20.0,20,2022
oracle,0.0787394724698558,0.07906526317514317,0.23993968309824804,0.4365467070561109,0.745256509955092,-0.14863164799382142,0.5319544272188242,251,10,0.17898730040019847,1.0,20.0,20,2022
buy_hold,-0.1284602486671791,-0.12893753352616377,0.23623789817744945,-0.466495777405367,-0.7707319269872072,-0.2147394761906396,-0.600437031017514,251,25,0.038461538461538464,1.0,20.0,20,2022
I_seed42,-0.09529665292130896,-0.09565755460539793,0.23817285006575367,-0.30342065008638747,-0.4722803752297364,-0.22294359348089768,-0.4290661736982996,251,25,0.18705382476449894,0.9203187250996016,20.0,20,2022
I_seed43,-0.08021897434652703,-0.0805253447053822,0.2354551246828764,-0.23922233252693823,-0.37359796196146994,-0.21699250918201538,-0.371097348055627,251,25,0.19834903422054725,0.9203187250996016,20.0,20,2022
I_seed44,-0.08587135569521742,-0.08619828565623244,0.23231142313508726,-0.2721630525046727,-0.4209106961200874,-0.21878541044111594,-0.3939855289365006,251,25,0.1719580580765683,0.9203187250996016,20.0,20,2022
I_seed45,-0.09644120650554866,-0.09680620686696795,0.23623598281561192,-0.3132147502262227,-0.48867123831584736,-0.22767363866365403,-0.4251972579486083,251,25,0.20026437205582884,0.9203187250996016,20.0,20,2022
I_seed46,-0.0937762755721635,-0.09413172379183476,0.23272482091018898,-0.3087191130817144,-0.4736164181846983,-0.22223565510072102,-0.4235671532957781,251,25,0.16944587943231879,0.9203187250996016,20.0,20,2022
