strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,avg_turnover,exposure,period
buy_hold,0.7000237512757232,0.20013120317282085,0.27339569965706645,0.7909073301140278,1.9172144290963673,-0.21206550658182904,0.9437235050557213,733,25,0.01351351351351351,1.0,ALL
buy_hold,-0.1266061003166674,-0.1270770096914623,0.23316993038574116,-0.46656556306615593,-0.7708589170699426,-0.21206550658182904,-0.599234697522237,251,25,0.01351351351351351,1.0,2022
buy_hold,0.5590307865697157,0.5645791157823927,0.37348064835135236,1.3580682551911365,6.107030902912301,-0.13513818398402086,4.177791199629782,250,25,0.01351351351351351,1.0,2023
buy_hold,0.24850459019718296,0.2726226207664295,0.1638078512392956,1.552493814857697,3.130531047744303,-0.06071139961174572,4.490468388307189,232,25,0.01351351351351351,1.0,2024
model_seed42,0.3876705038895929,0.11922396649801237,0.20299115966794593,0.6551925665308842,1.1226610133450061,-0.20495665917002323,0.5817033073275716,733,25,0.1818030056555609,0.9727148703956344,ALL
model_seed42,-0.07728844600299711,-0.0775841023225935,0.23459923227005164,-0.2272972303552195,-0.35255263492054445,-0.20495665917002323,-0.37853906595068504,251,25,0.1818030056555609,0.9727148703956344,2022
model_seed42,0.20587993319157682,0.2076873040589362,0.1722807941065449,1.180814940880851,2.3252858107484844,-0.14044795533281443,1.4787492175787618,250,25,0.1818030056555609,0.9727148703956344,2023
model_seed42,0.24714322011999457,0.27111539665676143,0.19693134245200375,1.3135612851144916,2.8439716235419943,-0.06938242279824999,3.9075515919227843,232,25,0.1818030056555609,0.9727148703956344,2024
model_seed43,0.2393242488379801,0.07655518846106268,0.18924530933501474,0.4841688795409279,0.7673603844178672,-0.21164752867718817,0.3617107600525173,733,25,0.1799159792705009,0.9727148703956344,ALL
model_seed43,-0.07707524629348472,-0.07737012169923307,0.2326784471972351,-0.2300418525202456,-0.35194893866033117,-0.21164752867718817,-0.3655611864820805,251,25,0.1799159792705009,0.9727148703956344,2022
model_seed43,0.22903157648796468,0.23106092131680867,0.17604357413229146,1.2682132329117752,2.4776741850497577,-0.14195645420889982,1.6276887345804283,250,25,0.1799159792705009,0.9727148703956344,2023
model_seed43,0.09258595123002866,0.10095799830942664,0.14602445094724825,0.731518279365182,1.168399184955347,-0.06865357855736476,1.4705424018803235,232,25,0.1799159792705009,0.9727148703956344,2024
model_seed44,0.2305396538634623,0.07392563215776482,0.18906601167851245,0.47149171053064054,0.7513283448056942,-0.2059278282418945,0.3589880629000155,733,25,0.18161354221292292,0.9727148703956344,ALL
model_seed44,-0.07107785587457394,-0.07135068334982353,0.23171285990793875,-0.20392890977760036,-0.31429731168330655,-0.2059278282418945,-0.3464839306031576,251,25,0.18161354221292292,0.9727148703956344,2022
model_seed44,0.1863300883733443,0.18795281154707966,0.1753904035981329,1.0688940599753702,2.072219003428457,-0.14022198825208848,1.3403947119133812,250,25,0.18161354221292292,0.9727148703956344,2023
model_seed44,0.11663375473252713,0.1273038474767505,0.14791370799698858,0.8839587640817209,1.4325868305597735,-0.06721657119564334,1.893935456871411,232,25,0.18161354221292292,0.9727148703956344,2024
model_seed45,0.2242581094099736,0.07203776934561801,0.18982882429661707,0.46109453001437317,0.7296460598538418,-0.22387314684926712,0.32177941106139335,733,25,0.18590626701884772,0.9727148703956344,ALL
model_seed45,-0.09379081720042937,-0.09414631762802006,0.23424506045810622,-0.30524348439590465,-0.46558108813216204,-0.22387314684926712,-0.4205342130264886,251,25,0.18590626701884772,0.9727148703956344,2022
model_seed45,0.23254836968624093,0.23461174275532115,0.17575286956584338,1.2863710065695322,2.5522971338499287,-0.13575976165162376,1.7281390295702177,250,25,0.18590626701884772,0.9727148703956344,2023
model_seed45,0.09607572436300793,0.10477818527753469,0.14599753164836898,0.7553528240799541,1.2130463246300331,-0.06894368285499412,1.5197648419494723,232,25,0.18590626701884772,0.9727148703956344,2024
model_seed46,0.2945658623593208,0.09281703673195896,0.1889737682325994,0.5639626543285661,0.8924316080947017,-0.21264915356026598,0.4364796905041716,733,25,0.17955089692019077,0.9727148703956344,ALL
model_seed46,-0.06628472781769545,-0.06653982316708962,0.2335699317447057,-0.1783351187262441,-0.27284114696143136,-0.21264915356026598,-0.31290894909784744,251,25,0.17955089692019077,0.9727148703956344,2022
model_seed46,0.23162569697657776,0.2336801344779771,0.1725457830072804,1.3027855872529297,2.548774120707899,-0.1291459297370736,1.809427017589507,250,25,0.17955089692019077,0.9727148703956344,2023
model_seed46,0.1257214634588748,0.13727279106226642,0.1478825514691545,0.9436774260123841,1.5282485525027643,-0.06858030180229953,2.0016358554091926,232,25,0.17955089692019077,0.9727148703956344,2024
naive_vol,0.023320574186944443,0.007956873394279862,0.17320535443708687,0.13221684695198987,0.211429168455948,-0.22652264895521787,0.03512617140484211,733,25,0.12018570414074588,1.0,ALL
naive_vol,-0.15176199341311325,-0.1523180457328307,0.2231503415856764,-0.6291701156093468,-1.0437026354246333,-0.22652264895521787,-0.6724186143653257,251,25,0.12018570414074588,1.0,2022
naive_vol,0.07048478514577794,0.07106824368235554,0.14663849219524025,0.54116121155981,0.973149138496046,-0.1593179826285425,0.4460779788308929,250,25,0.12018570414074588,1.0,2023
naive_vol,0.1269729161503934,0.13864614190295899,0.1334647339142039,1.0395262895689157,1.7060207753241603,-0.06086590949793608,2.2778948519229862,232,25,0.12018570414074588,1.0,2024
oracle,2.435515641204738,0.528516309013112,0.32951829742120375,1.4295261573950195,4.091318461964554,-0.14915203091945395,3.543473768040911,733,25,0.16127057421031235,0.9727148703956344,ALL
oracle,0.0997318432761718,0.10014844613232454,0.23438119626497736,0.5238851502776829,0.8574278284682508,-0.14915203091945395,0.6714521117476929,251,25,0.16127057421031235,0.9727148703956344,2022
oracle,0.9256939917948532,0.9358155476316026,0.47414669046186414,1.5842720233674792,8.54240054344413,-0.08260088559363968,11.329364581336414,250,25,0.16127057421031235,0.9727148703956344,2023
oracle,0.6222502669308891,0.6913421124093555,0.20349579595142597,2.683038645141737,6.316928457545715,-0.05751853893885066,12.019465813349987,232,25,0.16127057421031235,0.9727148703956344,2024
buy_hold,0.6978960619750063,0.19961460015254917,0.27340000014509724,0.7893230503826981,1.914249250157243,-0.2120655065818281,0.9412874510807131,733,50,0.01351351351351351,1.0,ALL
buy_hold,-0.12769920907722054,-0.1281738790096505,0.2331777160677932,-0.4719320602154247,-0.7805918902329496,-0.2120655065818281,-0.6044070111901627,251,50,0.01351351351351351,1.0,2022
buy_hold,0.5590307865697157,0.5645791157823927,0.37348064835135236,1.3580682551911365,6.107030902912301,-0.13513818398402086,4.177791199629782,250,50,0.01351351351351351,1.0,2023
buy_hold,0.24850459019718296,0.2726226207664295,0.1638078512392956,1.552493814857697,3.130531047744303,-0.06071139961174572,4.490468388307189,232,50,0.01351351351351351,1.0,2024
model_seed42,0.36517948962896196,0.11295406941757813,0.20295409027744749,0.627595485517952,1.075290769701105,-0.20687699121861658,0.5459962886748208,733,50,0.1818030056555609,0.9727148703956344,ALL
model_seed42,-0.08223306805081243,-0.08254678031492568,0.23461495813405334,-0.25025105224971017,-0.3886752828287965,-0.20687699121861658,-0.39901382859776147,251,50,0.1818030056555609,0.9727148703956344,2022
model_seed42,0.19887224258810177,0.20061312955093769,0.1723789558980503,1.146134231499395,2.251625099068663,-0.14163812586360716,1.4163780290634564,250,50,0.1818030056555609,0.9727148703956344,2023
model_seed42,0.24075045788482252,0.26403962774006295,0.19669859458355812,1.286516258191563,2.780201336580392,-0.06938242279825027,3.8055694380669807,232,50,0.1818030056555609,0.9727148703956344,2024
model_seed43,0.21938150020588854,0.07056776000682774,0.18930738440435085,0.4546037583729533,0.7213417876470907,-0.2134931548275784,0.3305387475482282,733,50,0.1799159792705009,0.9727148703956344,ALL
model_seed43,-0.08207359180607443,-0.0823867233808172,0.23269266120992532,-0.25343521708863603,-0.3882635571005752,-0.2134931548275784,-0.38589866474807805,251,50,0.1799159792705009,0.9727148703956344,2022
model_seed43,0.22197747370639598,0.22393880880857675,0.17613419377267825,1.2346823549948516,2.417093352219701,-0.14310615868115167,1.5648439652937973,250,50,0.1799159792705009,0.9727148703956344,2023
model_seed43,0.08709760103265118,0.09495213668612124,0.14613840591083688,0.6936187025080411,1.1077820951689707,-0.06865357855736448,1.3830617235310263,232,50,0.1799159792705009,0.9727148703956344,2024
model_seed44,0.2105511389339787,0.06789608024621896,0.1891312685577585,0.4416175711095073,0.7046010242330941,-0.20784593828445064,0.3266654176965382,733,50,0.18161354221292292,0.9727148703956344,ALL
model_seed44,-0.07610992063605748,-0.07640125775619377,0.23173312707587845,-0.22741605754855684,-0.35102153890569515,-0.20784593828445064,-0.36758600330035657,251,50,0.18161354221292292,0.9727148703956344,2022
model_seed44,0.17955715987153265,0.1811165175598799,0.17548735710626667,1.0354905255112568,2.0111898525178797,-0.14138576506011297,1.2810095661531034,250,50,0.18161354221292292,0.9727148703956344,2023
model_seed44,0.11082039728259074,0.12093043248085644,0.14802083961729545,0.8451061388059459,1.3698086999943853,-0.06721657119564341,1.7991163537466257,232,50,0.18161354221292292,0.9727148703956344,2024
model_seed45,0.2039149170903447,0.06587982213210863,0.18988098229892103,0.4306742206577384,0.6821009679316092,-0.22583251126494935,0.29171983149413616,733,50,0.18590626701884772,0.9727148703956344,ALL
model_seed45,-0.09881352785823505,-0.09918700509864198,0.2342530156745628,-0.32903519062224706,-0.5026391236034107,-0.22583251126494935,-0.43920604939948005,251,50,0.18590626701884772,0.9727148703956344,2022
model_seed45,0.22510485794845447,0.22709630418594862,0.17584345760901227,1.251046234077639,2.4790774725115057,-0.13692905183046009,1.6584961419811035,250,50,0.18590626701884772,0.9727148703956344,2023
model_seed45,0.09045530533252322,0.0986261384593119,0.1460831571178069,0.7167564288880226,1.1518632186003421,-0.06894368285499389,1.4305319120643405,232,50,0.18590626701884772,0.9727148703956344,2024
model_seed46,0.2737805364248369,0.08675276085978445,0.18903124039503522,0.5344016307288927,0.8467125897767843,-0.21453520712657453,0.40437540309456443,733,50,0.17955089692019077,0.9727148703956344,ALL
model_seed46,-0.07143119388181607,-0.07170532461947599,0.23358300121194764,-0.20206040491483768,-0.30959283921815484,-0.21453520712657453,-0.3342356976268714,251,50,0.17955089692019077,0.9727148703956344,2022
model_seed46,0.2245829543054334,0.2265693710541714,0.1726313573323505,1.2687125261336145,2.4876810762407886,-0.130324467835892,1.7385021770391844,250,50,0.17955089692019077,0.9727148703956344,2023
model_seed46,0.12019159168225246,0.13120585782713623,0.14798587225696586,0.906960165465998,1.4690181596797276,-0.06858030180229889,1.9131711931710698,232,50,0.17955089692019077,0.9727148703956344,2024
naive_vol,0.01199310405912768,0.004107022913747205,0.17323283081895877,0.11013306183665006,0.17628901294777996,-0.2281940278672453,0.01799794215533334,733,50,0.12018570414074588,1.0,ALL
naive_vol,-0.1552832143525804,-0.15585094869471972,0.22315220287346368,-0.6478654645626148,-1.075840107640431,-0.2281940278672453,-0.6829755806991932,251,50,0.12018570414074588,1.0,2022
naive_vol,0.06667735840114508,0.0672283204123274,0.14667998333811172,0.5165571895555403,0.9304217418503942,-0.16146150674666104,0.4163736717619703,250,50,0.12018570414074588,1.0,2023
naive_vol,0.12313859691063889,0.13443875584200904,0.1335224910674697,1.0113959678860616,1.6605940315370895,-0.06086590949793648,2.2087693579370056,232,50,0.12018570414074588,1.0,2024
oracle,2.3862031996193833,0.5209377258863852,0.32947900243229794,1.4145517464939092,4.050842284123866,-0.150018984830204,3.4724786764555042,733,50,0.16127057421031235,0.9727148703956344,ALL
oracle,0.09390281214504936,0.09429403672964676,0.23436610848918676,0.5011296255584081,0.821192543901364,-0.150018984830204,0.628547359098394,251,50,0.16127057421031235,0.9727148703956344,2022
oracle,0.9167063975195933,0.9267086056689273,0.4741894476012796,1.5741982809993653,8.476031887783368,-0.08391165036461443,11.043861032909927,250,50,0.16127057421031235,0.9727148703956344,2023
oracle,0.615022899211624,0.6831589193805427,0.20320100971395683,2.662754593379413,6.268954381411103,-0.05751853893885106,11.877195283190705,232,50,0.16127057421031235,0.9727148703956344,2024
