date,permno,ticker,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference
2020-11-04,29938,BF,68.21,1.0,0.012018,0.012018,68.21,68.21,0.012017804154302425,0.012017804154302425,False,0.0
2020-11-05,29938,BF,69.83,1.0,0.02375,0.02375,69.83,69.83,0.023750183257587043,0.023750183257587043,False,0.0
2020-11-06,29938,BF,69.96,1.0,0.001862,0.001862,69.96,69.96,0.0018616640412429941,0.0018616640412429941,False,0.0
2020-11-09,29938,BF,70.88,1.0,0.01315,0.01315,70.88,70.88,0.013150371640937797,0.013150371640937797,False,0.0
2020-11-10,29938,BF,72.38,1.0,0.021163,0.021163,72.38,72.38,0.02116252821670428,0.02116252821670428,False,0.0
2020-11-11,29938,BF,72.63,1.0,0.003454,0.003454,72.63,72.63,0.0034539928156949173,0.0034539928156949173,False,0.0
2020-11-12,29938,BF,71.64,1.0,-0.013631,-0.013631,71.64,71.64,-0.013630731102849958,-0.013630731102849958,False,0.0
2020-11-13,29938,BF,72.65,1.0,0.014098,0.014098,72.65,72.65,0.014098269123394847,0.014098269123394847,False,0.0
2020-11-16,29938,BF,73.9,1.0,0.017206,0.017206,73.9,73.9,0.01720578114246396,0.01720578114246396,False,0.0
2020-11-17,29938,BF,73.77,1.0,-0.001759,-0.001759,73.77,73.77,-0.0017591339648174165,-0.0017591339648174165,False,0.0
2020-11-18,29938,BF,72.06,1.0,-0.02318,-0.02318,72.06,72.06,-0.023180154534363506,-0.023180154534363506,False,0.0
2020-11-19,29938,BF,72.86,1.0,0.011102,0.011102,72.86,72.86,0.011101859561476468,0.011101859561476468,False,0.0
2020-11-20,29938,BF,72.55,1.0,-0.004255,-0.004255,72.55,72.55,-0.00425473510842711,-0.00425473510842711,False,0.0
2020-11-23,29938,BF,72.89,1.0,0.004686,0.004686,72.89,72.89,0.004686423156443853,0.004686423156443853,False,0.0
2020-11-24,29938,BF,74.15,1.0,0.017286,0.017286,74.15,74.15,0.017286321854849795,0.017286321854849795,False,0.0
2020-11-25,29938,BF,73.7,1.0,-0.006069,-0.006069,73.7,73.7,-0.006068779501011479,-0.006068779501011479,False,0.0
2020-11-27,29938,BF,73.54,1.0,-0.002171,-0.002171,73.54,73.54,-0.002170963364993117,-0.002170963364993117,False,0.0
2020-11-30,29938,BF,73.73,1.0,0.002584,0.002584,73.73,73.73,0.002583627957574164,0.002583627957574164,False,0.0
2020-12-01,29938,BF,74.57,1.0,0.011393,0.011393,74.57,74.57,0.011392920113929117,0.011392920113929117,False,0.0
2020-12-02,29938,BF,74.07,1.0,-0.006705,-0.006705,74.07,74.07,-0.006705109293281497,-0.006705109293281497,False,0.0
2020-12-03,29938,BF,73.2,1.0,-0.009322,-0.011746,73.2,73.2,-0.011745646010530408,-0.011745646010530408,False,0.0
2020-12-04,29938,BF,73.94,1.0,0.010109,0.010109,73.94,73.94,0.010109289617486361,0.010109289617486361,False,0.0
2020-12-07,29938,BF,77.72,1.0,0.051123,0.051123,77.72,77.72,0.05112253178252635,0.05112253178252635,False,0.0
2020-12-08,29938,BF,79.01,1.0,0.016598,0.016598,79.01,79.01,0.016598044261451506,0.016598044261451506,False,0.0
2020-12-09,29938,BF,77.97,1.0,-0.013163,-0.013163,77.97,77.97,-0.01316289077331989,-0.01316289077331989,False,0.0
2020-12-10,29938,BF,80.13,1.0,0.027703,0.027703,80.13,80.13,0.027702962677953025,0.027702962677953025,False,0.0
2020-12-11,29938,BF,80.92,1.0,0.009859,0.009859,80.92,80.92,0.00985897915886702,0.00985897915886702,False,0.0
2020-12-14,29938,BF,81.28,1.0,0.004449,0.004449,81.28,81.28,0.004448838358872997,0.004448838358872997,False,0.0
2020-12-15,29938,BF,81.54,1.0,0.003199,0.003199,81.54,81.54,0.003198818897637956,0.003198818897637956,False,0.0
