date,close,ticker,permno,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference,_merge
2010-06-16,31.75,LNCR,77421,31.75,1.0,0.000525,0.000525,31.75,31.75,-0.33298319327731096,0.0005252100840336116,True,-0.3335084033613446,both
2016-05-20,35.91,LNT,58819,35.91,1.0,0.004757,0.004757,35.91,35.91,-0.49762171236709574,0.004756575265808527,True,-0.5023782876329043,both
2024-10-03,81.11,LRCX,48486,81.11,1.0,-0.003673,-0.003673,81.11,81.11,-0.9003672849303903,-0.003672849303903103,True,-0.8966944356264872,both
2021-01-28,80.97,LSI,81675,80.97,1.0,-0.013283,-0.013283,80.97,80.97,-0.34218864245673897,-0.013282963685108506,True,-0.32890567877163046,both
2011-10-20,23.1,LVLT,85991,23.1,1.0,-0.006461,-0.006461,23.1,23.1,13.903225806451614,-0.006461548387096672,True,13.909687354838711,both
2015-07-01,23.77,MAS,34032,23.77,1.0,0.00375,0.00375,23.77,23.77,-0.10873640794900641,0.0037490787401575076,True,-0.11248548668916392,both
2013-12-20,52.82,MD,82272,52.82,1.0,0.00946,0.00946,52.82,52.82,-0.49526994744386055,0.009460105112278905,True,-0.5047300525561395,both
2023-06-01,19.68,MDU,23835,19.68,1.86904,-0.025531,-0.025531,19.68,10.529469674271283,-0.3255654557916381,-0.02553114027126835,True,-0.30003431552036974,both
2024-11-01,15.1,MDU,23835,15.1,1.0,-0.02175,-0.02175,15.1,15.1,-0.47660311958405555,-0.021750294627382982,True,-0.45485282495667256,both
2024-10-16,5.34,ME,20134,5.34,1.0,-0.011477,-0.011477,5.34,5.34,18.77045538689374,-0.01147723065531292,True,18.781932617549053,both
2012-05-01,28.99,MWV,21186,28.99,0.86811,0.025095,0.025095,28.99,33.39438550414118,-0.08893777498428668,0.025095340846117864,True,-0.11403311583040454,both
2011-02-23,30.61,NATI,81501,30.61,1.0,-0.009812,-0.009812,30.61,30.61,-0.339874919128747,-0.00981237869312046,True,-0.33006254043562655,both
2015-07-15,98.13,NFLX,89393,98.13,1.0,-0.022331,-0.022331,98.13,98.13,-0.8603330447006275,-0.02233131290439261,True,-0.8380017317962349,both
2015-07-02,16.99,NI,38762,16.99,1.0,0.041364,0.041364,16.99,16.99,-0.6261826182618262,0.041364014081407996,True,-0.6675466323432342,both
2015-03-04,29.95,NJR,64450,29.95,1.0,-0.026491,-0.026491,29.95,29.95,-0.5132455712660491,-0.026491142532098166,True,-0.4867544287339509,both
2011-11-01,25.07,NTLS,91099,25.07,1.0,0.049685,0.049685,25.07,25.07,0.31808622502628814,0.049684327024185126,True,0.268401898002103,both
2019-10-02,14.825,NUAN,82759,14.825,1.0,0.017857,0.017857,14.825,14.825,-0.09878419452887544,0.017857463525835948,True,-0.11664165805471138,both
