number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
10,0.21666400890695364,2026-09-24 12:13:13.470790,2026-09-24 12:14:08.562836,0 days 00:00:55.092046,0.9923941693454601,0.002896558021762252,0.047839744365144175,2,1.457888089729482,0.0001086849895365813,0.7008294426919617,0.9882180875769796,71,COMPLETE
11,0.21789883434192064,2026-09-24 12:14:08.614750,2026-09-24 12:15:06.541582,0 days 00:00:57.926832,0.6753735800718276,0.29725076658377725,0.05303330808887082,2,6.743700244113042,0.26198973348992693,0.11302187839326434,0.8990705320625406,77,COMPLETE
12,0.2232597478474991,2026-09-24 12:15:06.601720,2026-09-24 12:15:47.651999,0 days 00:00:41.050279,0.7020748335768783,1.1487144005946397,0.056355108002740975,3,1.955784898934118,0.32049449399923574,0.10851758855940438,0.654017658124852,15,COMPLETE
13,0.2222353687372578,2026-09-24 12:15:47.724425,2026-09-24 12:16:31.443989,0 days 00:00:43.719564,0.6547798515720248,1.1489532252880053,0.04918144805612717,3,1.1738150767413205,0.04238857779780803,19.377841256086747,0.6036234744056546,22,COMPLETE
14,0.2214113653186966,2026-09-24 12:16:31.504207,2026-09-24 12:17:17.527716,0 days 00:00:46.023509,0.6907152004936534,1.1599259241585413,0.03605238579907775,3,1.1117524389420494,0.022369034957990853,14.792232566327254,0.6385732611831623,28,COMPLETE
15,0.2215137472240258,2026-09-24 12:17:17.595400,2026-09-24 12:17:58.425579,0 days 00:00:40.830179,0.6913369161697815,1.2438295034958529,0.06341423620047329,3,1.953341326359772,0.07991097376036488,18.219445221479184,0.6432827838232389,16,COMPLETE
16,0.21745393400995378,2026-09-24 12:17:58.485555,2026-09-24 12:18:57.470896,0 days 00:00:58.985341,0.6246682127136796,1.2588401030583374,0.03459656320340723,2,1.013788337237184,0.0062017518189537695,0.3990510729396731,0.6654210387756923,81,COMPLETE
17,0.222286118879934,2026-09-24 12:18:57.533747,2026-09-24 12:19:37.438278,0 days 00:00:39.904531,0.7533000692986648,1.3671396833920502,0.06875753598560316,3,1.7176493984367536,0.5361136896820129,0.25670712550866237,0.6794919835158977,14,COMPLETE
18,0.21421170729919164,2026-09-24 12:19:37.500273,2026-09-24 12:20:28.439113,0 days 00:00:50.938840,0.7325636407224344,1.437613061030253,0.07029212045086757,5,1.9722672275629785,0.6116706876815051,0.24918733162880977,0.7047753242033913,16,COMPLETE
19,0.21771138142916968,2026-09-24 12:20:28.499315,2026-09-24 12:21:10.314921,0 days 00:00:41.815606,0.756587987632288,1.8635661263595282,0.07061814788917718,2,1.9612613163160049,0.30630780085186865,0.10037838163709062,0.691530838909265,29,COMPLETE
20,0.2206237115865961,2026-09-24 12:21:10.390831,2026-09-24 12:21:52.500449,0 days 00:00:42.109618,0.8296094289821574,1.397482507023514,0.04033117217039121,3,2.768674630795388,1.3547993924788162,0.8002112729048054,0.5796131297132715,18,COMPLETE
21,0.22429234136841958,2026-09-24 12:21:52.566421,2026-09-24 12:22:33.500722,0 days 00:00:40.934301,0.6461640614006302,1.0355291496053525,0.060483919563855175,3,1.3498915747102775,0.0707676864706877,0.2995977869639758,0.6029587582932127,16,COMPLETE
22,0.22438650345533823,2026-09-24 12:22:33.560921,2026-09-24 12:23:15.270104,0 days 00:00:41.709183,0.5965308580257808,0.8939405335334449,0.06202040533182832,3,1.6118890328540085,0.11116013488479176,0.2245147170430819,0.6155964746828743,18,COMPLETE
23,0.2194245940626702,2026-09-24 12:23:15.320428,2026-09-24 12:24:01.218022,0 days 00:00:45.897594,0.5975455389189379,0.9683398031818061,0.05972223278003351,4,1.4118068198641847,0.1515691192341611,0.1640364113774563,0.6189802246579549,17,COMPLETE
24,0.21781899714740713,2026-09-24 12:24:01.269930,2026-09-24 12:25:05.541165,0 days 00:01:04.271235,0.5224331748739235,0.9453863929747831,0.027643344248749015,2,2.8015667240615327,0.04769923895245888,0.3129380271852116,0.5643748491174074,96,COMPLETE
25,0.2218800609159835,2026-09-24 12:25:05.601325,2026-09-24 12:25:44.820643,0 days 00:00:39.219318,0.5828850842855051,1.0696847960393823,0.07928560006375719,3,1.4428372199386086,0.009386237849664048,0.154560926738322,0.5075977424998918,11,COMPLETE
26,0.22039747133053045,2026-09-24 12:25:44.880834,2026-09-24 12:26:31.562455,0 days 00:00:46.681621,0.6431440159442038,0.8181652380399992,0.038335318096706025,3,2.3289934279831805,0.10812883519709242,1.0563176790198459,0.5573337678904089,28,COMPLETE
27,0.21968638291996984,2026-09-24 12:26:31.622599,2026-09-24 12:27:27.639542,0 days 00:00:56.016943,0.7162568379548357,0.33927987032928997,0.05642956221337513,2,5.06745497187302,0.011573474396252828,0.4512077005151209,0.6133619650632282,72,COMPLETE
28,0.21911082802865772,2026-09-24 12:27:27.715632,2026-09-24 12:28:10.035081,0 days 00:00:42.319449,0.6251593501140128,0.8117931085042406,0.043932487301289826,4,1.276343245692777,0.0008049079658732796,0.18417732671000236,0.7360659246854778,8,COMPLETE
29,0.22131531053618586,2026-09-24 12:28:10.085155,2026-09-24 12:28:51.826077,0 days 00:00:41.740922,0.5001319830595959,0.49182617642066473,0.07852060286005187,4,1.7227333303408014,2.728652224363942,1.5614660187642926,0.6478326836237611,7,COMPLETE
