gvkey,lpermno,lpermco,liid,linktype,linkprim,linkdt,linkenddt,cik,conm,identity_status
005918,51633,20976.0,1,LU,P,1970-12-08,2019-02-28,1096385.0,VECTREN CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007146,52090,2801.0,1,LC,P,1972-12-14,,63754.0,MCCORMICK & CO INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
002312,52230,469.0,1,LU,C,1971-04-15,,315213.0,ROBERT HALF INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007750,52337,21258.0,1,LC,P,1971-04-28,,70318.0,TENET HEALTHCARE CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004423,52476,20659.0,1,LU,P,1971-05-11,,33185.0,EQUIFAX INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005639,52716,20913.0,1,LC,P,1971-06-28,2021-12-31,47518.0,HILL-ROM HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008542,52898,21397.0,1,LC,P,1971-07-26,,78128.0,ESSENTIAL UTILITIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005518,52978,20887.0,1,LU,P,1971-08-11,,46080.0,HASBRO INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006136,53065,20997.0,1,LU,P,1971-08-23,2025-11-28,51644.0,INTERPUBLIC GROUP OF COS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007331,53480,2829.0,1,LC,P,1981-02-13,2014-09-08,320345.0,MICROS SYSTEMS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004560,53866,20690.0,1,LC,P,1972-01-04,2015-07-06,34408.0,FAMILY DOLLAR STORES,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008823,54148,21349.0,1,LU,P,1972-02-07,,822416.0,PULTEGROUP INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007409,54181,2925.0,1,LU,P,1972-12-14,2010-07-30,66479.0,MILLIPORE CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009284,54818,21537.0,1,LC,P,1972-05-24,2014-01-28,85704.0,HARRIS TEETER SUPERMARKETS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005087,55212,21548.0,1,LU,P,1998-10-07,,88205.0,SPX TECHNOLOGIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007691,56040,5980.0,1,LC,P,1983-05-12,2013-11-18,69671.0,NASH FINCH CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
011257,56063,21879.0,1,LC,P,1972-12-07,2011-06-30,110430.0,FRONTIER OIL CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007798,56937,5651.0,1,LC,P,1982-10-15,2010-10-04,70793.0,NBTY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008387,57509,21368.0,1,LC,P,1972-12-14,2016-01-13,943861.0,GOODRICH PETROLEUM CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
001988,57568,20257.0,1,LU,P,1972-12-14,,9389.0,BALL CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007993,58334,3306.0,1,LC,P,1972-12-14,,1733998.0,NORTHWEST NATURAL HLDNG CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
011554,58819,4980.0,1,LC,P,1972-12-14,,352541.0,ALLIANT ENERGY CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008079,58975,3326.0,1,LU,P,1975-11-03,,73756.0,OCEANEERING INTERNATIONAL,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009778,60206,4162.0,1,LU,P,1972-12-14,,91440.0,SNAP-ON INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
006649,60943,2636.0,1,LU,P,1972-12-14,,58492.0,LEGGETT & PLATT INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007875,60986,3178.0,1,LC,P,1972-12-14,,814453.0,NEWELL BRANDS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009890,61188,4342.0,1,LU,P,1972-12-14,,1692115.0,SOUTHWEST GAS HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
004036,61313,1344.0,1,LU,P,1972-12-14,,29644.0,DONALDSON CO INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008463,62034,3622.0,1,LC,P,1972-12-14,2012-09-30,77360.0,PENTAIR PLC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
011644,63079,5036.0,1,LC,P,1980-10-16,2016-07-27,318996.0,KEY ENERGY SERVICES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
011644,63079,5036.0,3,LC,C,2016-12-16,2019-11-27,318996.0,KEY ENERGY SERVICES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008133,63714,3379.0,1,LC,P,1981-07-16,2015-08-17,353230.0,OMNICARE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010411,63773,5230.0,1,LC,P,1981-12-15,,1051512.0,TELEPHONE & DATA SYSTEMS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010877,63781,4691.0,1,LC,P,1979-04-06,2020-05-22,798949.0,UNIT CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
002960,64194,20435.0,1,LU,P,1972-12-14,,19584.0,CHEMED CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
007849,64450,3200.0,1,LU,P,1972-12-14,,356309.0,NEW JERSEY RESOURCES CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
002859,64557,5140.0,1,LC,C,1981-11-02,2016-04-13,1089819.0,CLECO CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
005980,65293,20979.0,1,LC,P,1983-07-26,2010-04-15,722079.0,TERRA INDUSTRIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008902,65307,3911.0,1,LU,P,1972-12-14,,110621.0,RPM INTERNATIONAL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
003504,65541,5780.0,1,LC,P,1983-01-21,,711404.0,COOPER COS INC (THE),CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010426,66114,21726.0,1,LC,P,1984-01-27,2012-02-29,731939.0,TEMPLE-INLAND INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
008901,66683,21482.0,1,LU,P,1984-07-02,,742278.0,RPC INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010221,66739,4340.0,1,LC,P,1981-07-24,2015-12-18,351817.0,SILVERBOW RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010221,66739,4340.0,2,LC,P,2017-05-05,2024-07-31,351817.0,SILVERBOW RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
012123,67467,20505.0,1,LU,P,1985-06-20,,768835.0,BIG LOTS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009340,68340,6463.0,1,LC,P,1983-10-07,2010-09-27,930184.0,VALEANT PHARMACEUTICALS -OLD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
002710,69796,1015.0,2,LC,P,1993-09-01,,16918.0,CONSTELLATION BRANDS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
012395,70228,8372.0,1,LU,P,1986-07-08,,794170.0,TOLL BROTHERS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
012950,70308,20033.0,1,LU,P,1986-12-19,2016-05-20,804212.0,AIRGAS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009774,70923,4062.0,1,LC,C,1972-12-14,2013-09-26,,SMITHFIELD FOODS INC -OLD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009815,71176,4196.0,1,LU,P,1972-12-14,,91767.0,SONOCO PRODUCTS CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
012788,75224,8741.0,1,LU,P,1986-11-14,2017-03-31,800459.0,HARMAN INTERNATIONAL INDS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
013963,75233,21100.0,1,LU,P,1987-10-08,2024-10-31,59440.0,VECTOR GROUP LTD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010420,75257,4467.0,1,LC,P,1980-07-15,2013-12-31,317771.0,TELLABS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
014370,75285,20312.0,1,LC,P,1991-05-03,,871763.0,MANPOWERGROUP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
014369,75320,21826.0,1,LU,P,1988-05-04,,821130.0,ARRAY DIG INFRASTRUCTURE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
014793,75326,20221.0,1,LC,P,1988-08-11,2016-01-08,1037676.0,ARCH RESOURCES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
015106,75383,21965.0,1,LC,C,1988-11-04,2011-06-30,840467.0,BECKMAN COULTER INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
015267,75591,22075.0,1,LU,P,1989-06-02,,832101.0,IDEX CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
015414,75694,10107.0,1,LC,P,1989-02-09,,842023.0,BIO-TECHNE CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
020548,76082,26024.0,1,LU,P,1990-02-08,,858470.0,COTERRA ENERGY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009867,76091,26033.0,1,LC,P,1990-02-08,2012-03-26,203248.0,SOUTHERN UNION CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
020904,76095,10504.0,1,LC,P,1990-03-01,,859737.0,HOLOGIC INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010550,76100,4587.0,1,LU,C,1981-05-14,2015-10-30,350907.0,THORATEC CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
010553,76129,6934.0,1,LC,P,1984-03-21,2010-04-09,738076.0,3COM CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
021487,76138,10567.0,1,LC,P,1990-04-24,2017-04-28,861361.0,B/E AEROSPACE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009063,76282,10594.0,1,LU,C,1990-05-11,,350698.0,AUTONATION INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
021186,76391,10535.0,1,LC,P,1990-03-28,2012-12-31,859368.0,MEDICIS PHARMACEUT CP  -CL A,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
023220,76477,26112.0,1,LC,P,1990-10-24,2018-06-07,866121.0,ORBITAL ATK INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
023485,76515,28924.0,1,LU,P,1990-12-06,2021-11-30,225648.0,COVANTA HOLDING CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
012338,76565,10828.0,1,LC,P,1991-02-06,2014-01-24,792985.0,HEALTH MANAGEMENT ASSOC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
023812,76614,10876.0,1,LU,P,1991-04-02,,872589.0,REGENERON PHARMACEUTICALS,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
