table_schema,table_name,column_name,data_type
calcbench_fair_value,fair_value_bo,cik_code,character varying
calcbench_fair_value,fair_value_fn,cik_code,character varying
calcbench_fair_value_old,fair_value_bo,cik_code,character varying
calcbench_fair_value_old,fair_value_fn,cik_code,character varying
calcbench_goodwill,goodwill_intangible_assets_bo,cik_code,character varying
calcbench_goodwill,goodwill_intangible_assets_fn,cik_code,character varying
calcbench_goodwill_old,goodwill_intangible_assets_bo,cik_code,character varying
calcbench_goodwill_old,goodwill_intangible_assets_fn,cik_code,character varying
calcbench_income_tax,tax_bo,cik_code,character varying
calcbench_income_tax,tax_fn,cik_code,character varying
calcbench_income_tax_old,tax_bo,cik_code,character varying
calcbench_income_tax_old,tax_fn,cik_code,character varying
calcbench_inventory,inventory_fn,cik_code,character varying
calcbench_inventory_old,inventory_fn,cik_code,character varying
calcbench_leases,capitalized_leases_fn,cik_code,character varying
calcbench_leases,operating_leases_fn,cik_code,character varying
calcbench_leases_old,capitalized_leases_fn,cik_code,character varying
calcbench_leases_old,operating_leases_fn,cik_code,character varying
calcbench_trial,entity_names,cik_code,character varying
calcbench_trial,normalized_fn,cik_code,character varying
calcbnch,accounts_payable_fn,cik_code,character varying
calcbnch,accounts_receivable_fn,cik_code,character varying
calcbnch,business_combinations_fn,cik_code,character varying
calcbnch,capitalized_leases_fn,cik_code,character varying
calcbnch,commitments_contingencies_fn,cik_code,character varying
calcbnch,concentration_risk_bo,cik_code,character varying
calcbnch,concentration_risk_fn,cik_code,character varying
calcbnch,derivatives_hedging_bo,cik_code,character varying
calcbnch,derivatives_hedging_fn,cik_code,character varying
calcbnch,entity_names,cik_code,character varying
calcbnch,equity_based_compensation_bo,cik_code,character varying
calcbnch,equity_based_compensation_fn,cik_code,character varying
calcbnch,equity_fn,cik_code,character varying
calcbnch,equity_repurchases_fn,cik_code,character varying
calcbnch,fair_value_bo,cik_code,character varying
calcbnch,fair_value_fn,cik_code,character varying
calcbnch,goodwill_intangible_assets_bo,cik_code,character varying
calcbnch,goodwill_intangible_assets_fn,cik_code,character varying
calcbnch,inventory_fn,cik_code,character varying
calcbnch,normalized_fn,cik_code,character varying
calcbnch,operating_leases_fn,cik_code,character varying
calcbnch,restructuring_discontinued_op_fn,cik_code,character varying
calcbnch,segment_fn,cik_code,character varying
calcbnch,tax_bo,cik_code,character varying
calcbnch,tax_fn,cik_code,character varying
ciq,chars,cik,character varying
ciq,wrds_cik,companyid,numeric
ciq,wrds_cik,cik,character varying
ciq,wrds_cik,companyname,character varying
ciq,wrds_cik,startdate,date
ciq,wrds_cik,enddate,date
ciq,wrds_cik,primaryflag,smallint
ciq,wrds_ciqsymbol_primary,cik,character varying
ciq,wrds_ciqsymbol_primary,cik_startdate,date
ciq,wrds_ciqsymbol_primary,cik_enddate,date
ciq_common,chars,cik,character varying
ciq_common,wrds_cik,companyid,numeric
ciq_common,wrds_cik,cik,character varying
ciq_common,wrds_cik,companyname,character varying
ciq_common,wrds_cik,startdate,date
ciq_common,wrds_cik,enddate,date
ciq_common,wrds_cik,primaryflag,smallint
ciq_common,wrds_ciqsymbol_primary,cik,character varying
ciq_common,wrds_ciqsymbol_primary,cik_startdate,date
ciq_common,wrds_ciqsymbol_primary,cik_enddate,date
ciq_common_old,chars,cik,character varying
ciq_common_old,wrds_cik,companyid,numeric
ciq_common_old,wrds_cik,cik,character varying
ciq_common_old,wrds_cik,companyname,character varying
ciq_common_old,wrds_cik,startdate,date
ciq_common_old,wrds_cik,enddate,date
ciq_common_old,wrds_cik,primaryflag,smallint
ciq_common_old,wrds_ciqsymbol_primary,cik,character varying
ciq_common_old,wrds_ciqsymbol_primary,cik_startdate,date
ciq_common_old,wrds_ciqsymbol_primary,cik_enddate,date
ciqsamp,chars,cik,character varying
ciqsamp,wrds_cik,companyid,numeric
ciqsamp,wrds_cik,cik,character varying
ciqsamp,wrds_cik,companyname,character varying
ciqsamp,wrds_cik,startdate,date
ciqsamp,wrds_cik,enddate,date
ciqsamp,wrds_cik,primaryflag,smallint
ciqsamp,wrds_cik_trial,companyid,double precision
ciqsamp,wrds_cik_trial,cik,character varying
ciqsamp,wrds_cik_trial,startdate,date
ciqsamp,wrds_cik_trial,enddate,date
ciqsamp,wrds_cik_trial,companyname,character varying
ciqsamp,wrds_ciqsymbol_primary,cik,character varying
ciqsamp,wrds_ciqsymbol_primary,cik_startdate,date
ciqsamp,wrds_ciqsymbol_primary,cik_enddate,date
ciqsamp_common,chars,cik,character varying
ciqsamp_common,wrds_cik,companyid,numeric
ciqsamp_common,wrds_cik,cik,character varying
ciqsamp_common,wrds_cik,companyname,character varying
ciqsamp_common,wrds_cik,startdate,date
ciqsamp_common,wrds_cik,enddate,date
ciqsamp_common,wrds_cik,primaryflag,smallint
ciqsamp_common,wrds_cik_trial,companyid,numeric
ciqsamp_common,wrds_cik_trial,cik,character varying
ciqsamp_common,wrds_cik_trial,startdate,date
ciqsamp_common,wrds_cik_trial,enddate,date
ciqsamp_common,wrds_cik_trial,companyname,character varying
ciqsamp_common,wrds_ciqsymbol_primary,cik,character varying
ciqsamp_common,wrds_ciqsymbol_primary,cik_startdate,date
ciqsamp_common,wrds_ciqsymbol_primary,cik_enddate,date
ciqsamp_common_old,chars,cik,character varying
ciqsamp_pplintel,wrds_cik_trial,companyid,double precision
